comparison,index,seed,baseline,candidate,baseline_total_s,candidate_total_s,difference_s,both_complete
compact__single,1,500001,compact,single,5824.600966,5854.556883,29.955917000000227,True
compact__single,2,500002,compact,single,5696.461523,5579.554034,-116.90748900000017,True
compact__single,3,500003,compact,single,5850.780619,5766.852623,-83.92799600000035,True
compact__single,4,500004,compact,single,5823.857873,5790.53949,-33.31838299999981,True
compact__single,5,500005,compact,single,5681.452544,5539.485525,-141.9670189999997,True
compact__single,6,500006,compact,single,5971.186107,6427.066341,455.8802339999993,True
compact__single,7,500007,compact,single,5390.995796,5393.176853,2.1810569999997824,True
compact__single,8,500008,compact,single,5700.653131,5677.471746,-23.181384999999864,True
compact__single,9,500009,compact,single,6145.287831,5947.872562,-197.41526900000008,True
compact__single,10,500010,compact,single,6379.004284,6212.871922,-166.13236199999938,True
compact__single,11,500011,compact,single,6354.503269,6151.197717,-203.3055519999998,True
compact__single,12,500012,compact,single,6283.394165,6278.454951,-4.939213999999993,True
compact__single,13,500013,compact,single,6350.379568,6210.235927,-140.14364100000057,True
compact__single,14,500014,compact,single,6470.708892,6430.309753,-40.399139000000105,True
compact__single,15,500015,compact,single,6444.838327,6442.73127,-2.107057000000168,True
compact__single,16,500016,compact,single,5338.922142,5265.798253,-73.12388900000042,True
compact__single,17,500017,compact,single,6546.417343,6222.094051,-324.32329200000004,True
compact__single,18,500018,compact,single,7297.065566,6666.875288,-630.190278,True
compact__single,19,500019,compact,single,6146.780348,6158.204631,11.424282999999377,True
compact__single,20,500020,compact,single,6274.377891,6167.371279,-107.00661200000013,True
compact__single,21,500021,compact,single,6401.68917,6350.926978,-50.76219199999923,True
compact__single,22,500022,compact,single,6473.517442,6294.09044,-179.42700200000036,True
compact__single,23,500023,compact,single,6440.464385,5749.384554,-691.079831,True
compact__single,24,500024,compact,single,5546.887854,5546.887854,0.0,True
compact__single,25,500025,compact,single,5781.959776,5683.703164,-98.25661200000013,True
compact__single,26,500026,compact,single,5753.394348,6374.27481,620.8804620000001,True
compact__single,27,500027,compact,single,5820.380188,5777.689039,-42.69114900000022,True
compact__single,28,500028,compact,single,5812.52466,5737.560934,-74.96372599999995,True
compact__single,29,500029,compact,single,6247.885908,6231.618271,-16.267636999999922,True
compact__single,30,500030,compact,single,6596.03641,5726.005758,-870.0306519999995,True
compact__stable,1,500001,compact,stable,5824.600966,5758.150438,-66.4505280000003,True
compact__stable,2,500002,compact,stable,5696.461523,5622.441056,-74.02046700000028,True
