RF_detection_count,RF_detection_time,audit_errors,audit_pass,average_localization_clear_time_s_per_source,channel_switch_time,clear_count,clear_ratio,clear_time,client_error,completion_proved,error_mode,experimental_events,future_timed_fallbacks,jammer_count,kind,measured_program_wall_time_s,move_distance,move_time,optical_failed_count,optical_time,parameter_hash,reception,region_checks,run_id,scenario,scene_hash,seed,strategy_hash,total_time,variant,variant_hash
103,515,,True,178.2100471875,96,16,1.0,32,,True,fixed_hash,9,0,16,Optical,6.6311262999952305,10786.803781613093,2157.3607563226187,1,51,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,52,20260912T112134523112Z-s21101-G-6aef0585,uniform,c2989010c03c6d62e880af886cd6abe4ef09d95c3876b9b7c46c83753afd3c00,21101,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2851.360755,Optical,e92bab2eef9ee23dc696cd258d4c433a2e100841b6992ef174c34ae7b9756e4f
103,515,,True,178.2100471875,96,16,1.0,32,,True,fixed_hash,9,0,16,OpticalRoute,6.609675599989714,10786.803781613093,2157.3607563226187,1,51,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,52,20260912T112134542130Z-s21101-G-547cf86d,uniform,c2989010c03c6d62e880af886cd6abe4ef09d95c3876b9b7c46c83753afd3c00,21101,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2851.360755,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
110,550,,True,190.5407325625,104,16,1.0,32,,True,fixed_hash,0,0,16,Gplus,6.869052099995315,11543.258607525013,2308.6517215050026,2,54,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,53,20260912T112134500619Z-s21101-G-65265a59,uniform,c2989010c03c6d62e880af886cd6abe4ef09d95c3876b9b7c46c83753afd3c00,21101,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3048.651721,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
110,550,,True,190.5407325625,104,16,1.0,32,,True,fixed_hash,0,0,16,Route,6.895978999993531,11543.258607525013,2308.6517215050026,2,54,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,53,20260912T112134527686Z-s21101-G-78357c57,uniform,c2989010c03c6d62e880af886cd6abe4ef09d95c3876b9b7c46c83753afd3c00,21101,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3048.651721,RouteOrder,7c61cba261b6c1f96d32ec131e22c54c39d8a742f4c25f2bad4d4a349c554c54
108,540,,True,190.0324051875,101,16,1.0,32,,True,fixed_hash,6,0,16,Optical,6.949392599999555,11597.592409811978,2319.5184819623955,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,51,20260912T112134555447Z-s21101-G-e1f71272,uniform,c2989010c03c6d62e880af886cd6abe4ef09d95c3876b9b7c46c83753afd3c00,21101,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3040.518483,OpticalTail,62c0a1c67064dd6aa80ea3b8353670afdb62faefb35b34cbe2974079b7184b30
103,515,,True,180.4780900625,98,16,1.0,32,,True,fixed_hash,0,0,16,Future,6.949743799996213,10958.247222058164,2191.649444411633,1,51,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,51,20260912T112134571005Z-s21101-G-5edf2ef7,uniform,c2989010c03c6d62e880af886cd6abe4ef09d95c3876b9b7c46c83753afd3c00,21101,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2887.649441,FutureAnchor,647c7e229ba59fae93958e3e8163c8df0930392c823c3a96e07fa684dc474c39
114,570,,True,195.19071226666668,106,15,1.0,30,,True,fixed_hash,0,0,15,Gplus,8.036918300000252,10869.303432102779,2173.860686420556,1,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,47,20260912T112141336229Z-s21102-G-5ae8fb55,uniform,ed562b3bd7c2802928428b519abdee949c9be668affa7ce94ffa6274abc3073a,21102,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2927.860684,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
114,570,,True,195.19071226666668,106,15,1.0,30,,True,fixed_hash,0,0,15,Route,7.96721649999381,10869.303432102779,2173.860686420556,1,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,47,20260912T112141536938Z-s21102-G-398392cf,uniform,ed562b3bd7c2802928428b519abdee949c9be668affa7ce94ffa6274abc3073a,21102,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2927.860684,RouteOrder,7c61cba261b6c1f96d32ec131e22c54c39d8a742f4c25f2bad4d4a349c554c54
113,565,,True,194.87236913333334,105,15,1.0,30,,True,fixed_hash,5,0,15,Optical,8.347726000007242,10875.427694750142,2175.0855389500284,1,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,47,20260912T112141344028Z-s21102-G-d8775fbc,uniform,ed562b3bd7c2802928428b519abdee949c9be668affa7ce94ffa6274abc3073a,21102,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2923.085537,Optical,e92bab2eef9ee23dc696cd258d4c433a2e100841b6992ef174c34ae7b9756e4f
113,565,,True,194.87236913333334,105,15,1.0,30,,True,fixed_hash,5,0,15,OpticalRoute,8.222453399997903,10875.427694750142,2175.0855389500284,1,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,47,20260912T112141609894Z-s21102-G-66d80027,uniform,ed562b3bd7c2802928428b519abdee949c9be668affa7ce94ffa6274abc3073a,21102,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2923.085537,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
