RF_detection_count,RF_detection_time,audit_errors,audit_pass,average_localization_clear_time_s_per_source,channel_switch_time,clear_count,clear_ratio,clear_time,client_error,completion_proved,error_mode,experimental_events,future_timed_fallbacks,jammer_count,kind,measured_program_wall_time_s,move_distance,move_time,optical_failed_count,optical_time,parameter_hash,reception,region_checks,run_id,scenario,scene_hash,seed,strategy_hash,total_time,variant,variant_hash
87,435,,True,180.38528425,83,16,1.0,32,,True,fixed_hash,0,0,16,Gplus,3.615475200000219,11425.8227547039,2285.16455094078,1,51,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,45,20260912T111920113855Z-s21001-G-a816e4ec,uniform,42563ab033d27c4df396f6d327c245af840f08be472448265f26beb53e1f6dbd,21001,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2886.164548,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
87,435,,True,180.38528425,83,16,1.0,32,,True,fixed_hash,1,0,16,Route,3.707987800007686,11425.8227547039,2285.16455094078,1,51,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,45,20260912T111920180898Z-s21001-G-fa6dae07,uniform,42563ab033d27c4df396f6d327c245af840f08be472448265f26beb53e1f6dbd,21001,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2886.164548,RouteOrder,7c61cba261b6c1f96d32ec131e22c54c39d8a742f4c25f2bad4d4a349c554c54
87,435,,True,180.44241275,82,16,1.0,32,,True,fixed_hash,8,0,16,Optical,3.8998218000051565,11420.393028996923,2284.0786057993846,2,54,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,47,20260912T111920126096Z-s21001-G-fe33edfb,uniform,42563ab033d27c4df396f6d327c245af840f08be472448265f26beb53e1f6dbd,21001,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2887.078604,Optical,e92bab2eef9ee23dc696cd258d4c433a2e100841b6992ef174c34ae7b9756e4f
87,435,,True,180.44241275,82,16,1.0,32,,True,fixed_hash,8,0,16,Optical,3.9378548999957275,11420.393028996923,2284.0786057993846,2,54,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,47,20260912T111920144336Z-s21001-G-8d388dba,uniform,42563ab033d27c4df396f6d327c245af840f08be472448265f26beb53e1f6dbd,21001,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2887.078604,OpticalRisk,3102d80144d068104997756caf0de4648c1aeadef8f0b77777bdbb218c7905fc
89,445,,True,181.7252046875,82,16,1.0,32,,True,fixed_hash,0,0,16,Future,4.270440000007511,11488.016379303244,2297.603275860649,1,51,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,47,20260912T111920157845Z-s21001-G-814edb00,uniform,42563ab033d27c4df396f6d327c245af840f08be472448265f26beb53e1f6dbd,21001,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2907.603275,FutureRoute,0414f01a1f13ed58eb3a541389f2561a33062003b4baa3ce0e24792a7f2018b6
89,445,,True,182.2141074375,83,16,1.0,32,,True,fixed_hash,0,0,16,Future,4.311437500000466,11522.12859834859,2304.425719669718,1,51,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,47,20260912T111920150666Z-s21001-G-d34c0f6f,uniform,42563ab033d27c4df396f6d327c245af840f08be472448265f26beb53e1f6dbd,21001,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2915.425719,FutureAnchor,647c7e229ba59fae93958e3e8163c8df0930392c823c3a96e07fa684dc474c39
109,545,,True,244.64654061538462,104,13,1.0,26,,True,fixed_hash,0,0,13,Gplus,4.220752100009122,12302.025159093377,2460.4050318186755,2,45,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,40,20260912T111923847453Z-s21002-G-be7d3aa6,uniform,61066ee21e6f607338b084c7154c25c363676be6e4440145c6b1d13398ac5f0a,21002,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3180.405028,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
108,540,,True,244.06148753846153,105,13,1.0,26,,True,fixed_hash,15,0,13,Optical,4.610271700003068,12268.99670135282,2453.7993402705642,3,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,42,20260912T111924012733Z-s21002-G-5a5b9c04,uniform,61066ee21e6f607338b084c7154c25c363676be6e4440145c6b1d13398ac5f0a,21002,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3172.799338,Optical,e92bab2eef9ee23dc696cd258d4c433a2e100841b6992ef174c34ae7b9756e4f
108,540,,True,243.97147161538462,105,13,1.0,26,,True,fixed_hash,15,0,13,Optical,4.639688399998704,12263.145664371597,2452.6291328743196,3,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,42,20260912T111924147791Z-s21002-G-41db67be,uniform,61066ee21e6f607338b084c7154c25c363676be6e4440145c6b1d13398ac5f0a,21002,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3171.629131,OpticalRisk,3102d80144d068104997756caf0de4648c1aeadef8f0b77777bdbb218c7905fc
109,545,,True,244.64654061538462,104,13,1.0,26,,True,fixed_hash,0,0,13,Route,4.225315400006366,12302.025159093377,2460.4050318186755,2,45,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,40,20260912T111924591685Z-s21002-G-3ad72645,uniform,61066ee21e6f607338b084c7154c25c363676be6e4440145c6b1d13398ac5f0a,21002,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3180.405028,RouteOrder,7c61cba261b6c1f96d32ec131e22c54c39d8a742f4c25f2bad4d4a349c554c54
