RF_detection_count,RF_detection_time,audit_errors,audit_pass,average_localization_clear_time_s_per_source,channel_switch_time,clear_count,clear_ratio,clear_time,client_error,completion_proved,count,error_mode,experimental_events,future_timed_fallbacks,jammer_count,kind,measured_program_wall_time_s,move_distance,move_time,optical_failed_count,optical_time,parameter_hash,reception,region_checks,run_id,scenario,scene_hash,seed,strategy_hash,total_time,variant,variant_hash
117,585,,True,299.4393172,110,10,1.0,20,,True,10,fixed_hash,0,0,10,Gplus,4.316370200001984,11246.965866030056,2249.393173206011,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,27,20260912T113155898497Z-s23001-G-b359cace,uniform,229525d70743905b5860b700fe9500ee38b39d43526d18c62f4a2f63a8a7b16e,23001,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2994.393172,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
133,665,,True,286.5167285,129,10,1.0,20,,True,10,plus_one,0,0,10,Gplus,4.274995300002047,10105.836428449682,2021.1672856899363,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,26,20260912T113155944577Z-s23003-G-c102e2ab,uniform,c7c44b957f5f0fda650dd3ee6f9831ef3005c87df9517ab8b5f9932f4d73b62a,23003,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2865.167285,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
117,585,,True,299.31578909999996,110,10,1.0,20,,True,10,fixed_hash,2,0,10,OpticalRoute,4.382681899995077,11240.789453890695,2248.157890778139,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,27,20260912T113155911009Z-s23001-G-919d0183,uniform,229525d70743905b5860b700fe9500ee38b39d43526d18c62f4a2f63a8a7b16e,23001,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2993.157891,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
133,665,,True,286.8868651,129,10,1.0,20,,True,10,plus_one,3,0,10,OpticalRoute,4.401197500003036,10109.343252586808,2021.8686505173616,1,33,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,27,20260912T113155968819Z-s23003-G-9dd44e2c,uniform,c7c44b957f5f0fda650dd3ee6f9831ef3005c87df9517ab8b5f9932f4d73b62a,23003,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2868.868651,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
101,505,,True,184.9706761875,94,16,1.0,32,,True,16,smooth,0,0,16,Gplus,5.35426059999736,11402.654097958406,2280.5308195916814,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,46,20260912T113155924523Z-s23002-G-ba12e299,uniform,52567301716ed2fe442fb9cc75b35c345938bc7e791329126f6e263dd4cdd36b,23002,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2959.530819,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
101,505,,True,184.690127375,94,16,1.0,32,,True,16,smooth,14,0,16,OpticalRoute,7.031861600000411,11380.210197416056,2276.0420394832113,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,46,20260912T113155930651Z-s23002-G-f147a102,uniform,52567301716ed2fe442fb9cc75b35c345938bc7e791329126f6e263dd4cdd36b,23002,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2955.042038,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
116,580,,True,283.249446,108,10,1.0,20,,True,10,fixed_hash,0,0,10,Gplus,6.802687100003823,10457.472299613939,2091.494459922788,1,33,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,35,20260912T113200512600Z-s23005-G-e0d17bc5,uniform,4d06e2810e5d819af628560218a26db0dd47d403db09aa7cdc594f9bc12c57c1,23005,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2832.49446,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
114,570,,True,282.004932,107,10,1.0,20,,True,10,fixed_hash,7,0,10,OpticalRoute,6.997783900005743,10450.2465920588,2090.04931841176,1,33,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,34,20260912T113200593044Z-s23005-G-f01270e8,uniform,4d06e2810e5d819af628560218a26db0dd47d403db09aa7cdc594f9bc12c57c1,23005,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2820.04932,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
79,395,,True,195.5707860625,73,16,1.0,32,,True,16,smooth,0,0,16,Gplus,6.517029800001183,12905.662891436215,2581.132578287243,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,50,20260912T113201524083Z-s23006-G-049227a0,uniform,d9287d2ecc4f61c3eeedc0892c73548eca0e8d21bbe847d9e563f34779c382ac,23006,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3129.132577,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
105,525,,True,207.3136451875,93,16,1.0,32,,True,16,minus_one,0,0,16,Gplus,8.938206400009221,13065.091608251942,2613.0183216503883,2,54,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,53,20260912T113200412744Z-s23004-G-68b38a19,uniform,94eebc3741a62de76e760a9e2e459f4829ab438f5e1131c3ea3e20af0cea4ed0,23004,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3317.018323,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
102,510,,True,206.762967,93,16,1.0,32,,True,16,minus_one,11,0,16,OpticalRoute,9.175584700002219,13081.037354493837,2616.2074708987675,3,57,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,53,20260912T113200435745Z-s23004-G-58d896cd,uniform,94eebc3741a62de76e760a9e2e459f4829ab438f5e1131c3ea3e20af0cea4ed0,23004,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3308.207472,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
80,400,,True,198.5605065,74,16,1.0,32,,True,16,smooth,15,0,16,OpticalRoute,8.086388800002169,13084.840526491971,2616.968105298394,2,54,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,53,20260912T113203179472Z-s23006-G-82ddf620,uniform,d9287d2ecc4f61c3eeedc0892c73548eca0e8d21bbe847d9e563f34779c382ac,23006,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3176.968104,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
110,550,,True,258.2216833,103,10,1.0,20,,True,10,plus_one,0,0,10,Gplus,6.242696999994223,9381.08416431394,1876.216832862788,1,33,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,36,20260912T113207592073Z-s23007-G-9e8bdd69,uniform,2cfac2f6dfc1f8427ed196dedcf28d1cf24e45dc778c63bb74a90a610ecaf314,23007,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2582.216833,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
109,545,,True,256.8117482,102,10,1.0,20,,True,10,plus_one,6,0,10,OpticalRoute,6.425938100001076,9355.587417970926,1871.1174835941852,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,35,20260912T113207838019Z-s23007-G-813ff4b2,uniform,2cfac2f6dfc1f8427ed196dedcf28d1cf24e45dc778c63bb74a90a610ecaf314,23007,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2568.117482,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
138,690,,True,366.7868702,132,10,1.0,20,,True,10,fixed_hash,0,0,10,Gplus,6.851809900006629,13979.34349909401,2795.868699818802,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,32,20260912T113209842730Z-s23009-G-60ededee,boundary,8bbea834c9c43cda025267c55c0bdc22eed691464baf9f205e9d72770047f2e9,23009,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3667.868702,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
105,525,,True,192.493912875,93,16,1.0,32,,True,16,minus_one,0,0,16,Gplus,9.601009899997734,11834.513027490837,2366.9026054981673,5,63,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,63,20260912T113208330388Z-s23008-G-ed3f8095,uniform,0fb1f5639c495c8752450a6efe6216ba73fc0fbfe3b06f77fc1cb727cd8d7b82,23008,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3079.902606,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
138,690,,True,366.38509899999997,132,10,1.0,20,,True,10,fixed_hash,2,0,10,OpticalRoute,6.763846300003934,13959.254934810016,2791.8509869620034,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,32,20260912T113211554612Z-s23009-G-fb308c6c,boundary,8bbea834c9c43cda025267c55c0bdc22eed691464baf9f205e9d72770047f2e9,23009,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3663.85099,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
102,510,,True,190.401152125,90,16,1.0,32,,True,16,minus_one,13,0,16,OpticalRoute,9.90660589998879,11787.092167459978,2357.4184334919955,3,57,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,61,20260912T113209601044Z-s23008-G-eb0a86d5,uniform,0fb1f5639c495c8752450a6efe6216ba73fc0fbfe3b06f77fc1cb727cd8d7b82,23008,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3046.418434,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
141,705,,True,274.905654625,131,16,1.0,32,,True,16,smooth,0,0,16,Gplus,8.998943699989468,17412.452365996152,3482.4904731992306,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,58,20260912T113214127942Z-s23010-G-563dd345,boundary,c229daee23a809cdc2b28fe24ea08a34494b2732489d526c6a0cc1cd385e8c70,23010,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,4398.490474,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
141,705,,True,274.7746379375,131,16,1.0,32,,True,16,smooth,6,0,16,OpticalRoute,9.650726099993335,17401.971026953586,3480.394205390717,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,58,20260912T113214527728Z-s23010-G-a3800399,boundary,c229daee23a809cdc2b28fe24ea08a34494b2732489d526c6a0cc1cd385e8c70,23010,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,4396.394207,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
140,700,,True,388.0168944,128,10,1.0,20,,True,10,plus_one,0,0,10,Gplus,10.693498900000122,14995.844715894313,2999.1689431788627,1,33,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,36,20260912T113216934680Z-s23011-G-6c76d1bb,boundary,d836c919e15dfff0525d7d08389526c917b847a67bdc1b151f04d9244b8e208d,23011,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3880.168944,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
139,695,,True,387.31448209999996,128,10,1.0,20,,True,10,plus_one,5,0,10,OpticalRoute,10.794935300000361,14985.724098002027,2997.1448196004053,1,33,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,36,20260912T113218167987Z-s23011-G-c30a2a0a,boundary,d836c919e15dfff0525d7d08389526c917b847a67bdc1b151f04d9244b8e208d,23011,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3873.144821,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
