seed,strategy,no_signal_count,optical_failed_count,move_distance,RF_count,switch_count
6001,D,52,1,11063.562891170732,114,92
6001,E,51,1,10745.192270616562,106,101
6002,D,81,2,13180.514184260686,121,109
6002,E,79,1,12354.247773479017,117,108
6003,D,79,0,10611.144085060987,114,104
6003,E,79,0,10392.774966837867,114,106
6004,D,85,0,12420.078017302269,113,103
6004,E,90,0,11067.537835454146,117,112
6005,D,64,0,13153.52293432583,109,96
6005,E,61,0,12913.391867513972,105,98
6006,D,73,0,13150.251088453695,117,105
6006,E,73,1,12509.831617825332,116,109
6007,D,59,0,10917.429918824058,104,92
6007,E,55,0,10149.467132230508,100,93
6008,D,75,0,10184.269022870485,116,103
6008,E,73,0,9928.00746993248,107,101
6009,D,76,0,13334.77570422637,115,103
6009,E,75,1,12588.340004783822,114,105
6010,D,64,0,11691.254038200508,100,93
6010,E,62,0,11780.202802004522,96,90
6011,D,63,1,10752.290582339881,107,94
6011,E,60,0,11004.440298145384,103,95
6012,D,83,1,12182.69625949788,119,106
6012,E,79,1,10842.406597910707,114,104
6013,D,65,0,13792.430263601664,129,107
6013,E,60,0,13380.329419456943,113,104
6014,D,61,1,13712.05716384016,109,93
6014,E,49,1,12273.719521028526,96,89
6015,D,69,0,13546.616918466334,130,104
6015,E,63,0,13313.307705248582,117,109
6016,D,44,0,10765.651913833064,96,83
6016,E,36,0,10437.330041392186,86,82
6017,D,56,0,13005.556085712442,101,94
6017,E,56,0,12633.298627948332,103,95
6018,D,62,0,12209.301822449874,108,97
6018,E,59,0,11434.960170818806,107,101
6019,D,59,1,11543.126788530262,110,93
6019,E,49,0,11322.913585322443,104,97
6020,D,50,1,11828.23804360125,95,86
6020,E,50,0,11523.137155367423,103,98
6021,D,79,0,11046.78089921304,118,105
6021,E,79,0,11517.851709729559,115,109
6022,D,74,0,12817.43635766775,126,109
6022,E,71,0,12629.915567896694,116,109
6023,D,60,0,12496.088634962845,108,94
6023,E,57,0,12062.547719785553,100,93
6024,D,62,0,12714.023979063913,108,99
6024,E,66,1,13034.796884893316,114,106
6025,D,82,2,11556.697293465028,115,104
6025,E,82,2,11417.632816337355,113,107
6026,D,81,1,10134.407314526905,123,108
6026,E,88,0,9889.810417689292,122,119
6027,D,76,1,13733.895145893794,117,107
6027,E,75,0,13743.869281811993,114,106
6028,D,76,0,9829.74398939872,109,97
6028,E,73,0,9192.079055174861,107,100
6029,D,84,0,9111.761868299513,124,107
6029,E,81,0,9381.1328917313,115,109
6030,D,63,1,12094.984969408566,112,99
6030,E,59,1,12244.148695233533,102,94
6031,D,56,0,12890.629437624368,120,93
6031,E,55,0,11749.628477251978,102,95
6032,D,62,1,13262.913657551799,116,100
6032,E,64,1,13443.828662301097,112,104
6033,D,71,0,14720.724140855957,109,97
6033,E,69,0,14411.957433093059,107,98
6034,D,64,1,11073.439885673992,108,98
6034,E,58,0,10615.008437413717,98,93
6035,D,60,1,13449.669942123026,105,90
6035,E,59,0,13150.049802489224,100,93
6036,D,51,0,12759.547367236482,107,92
6036,E,42,0,11845.195920873764,93,88
6037,D,67,2,13851.539507622121,123,102
6037,E,65,0,13288.319921740132,109,102
6038,D,82,1,10754.712718285318,107,102
6038,E,82,0,10760.612258283763,107,100
6039,D,83,0,11170.88261712348,114,104
6039,E,85,0,10502.179795966369,118,110
6040,D,32,2,11050.35203756152,86,78
6040,E,32,0,8927.324484849012,81,76
6041,D,83,0,11290.589863747444,125,109
6041,E,80,0,10910.723710905793,116,111
6042,D,88,0,10476.110734767464,117,110
6042,E,86,0,10162.457697239417,114,108
6043,D,56,1,12128.625245627707,110,96
6043,E,53,0,11988.778906860254,104,99
6044,D,83,0,10032.25102315635,120,105
6044,E,85,0,10029.870619760422,120,115
6045,D,88,1,10251.226949019177,122,114
6045,E,85,1,10076.216258598015,116,113
6046,D,73,0,10682.77043181919,109,98
6046,E,72,0,10390.792961339499,107,100
6047,D,51,0,9280.66017833416,97,87
6047,E,50,0,9350.776277339415,94,90
6048,D,80,1,10945.473215931986,120,106
6048,E,79,1,9872.724132702471,115,110
6049,D,96,0,11541.223053925585,124,117
6049,E,96,1,11025.955580615415,122,115
6050,D,71,0,12119.272150711737,125,102
6050,E,70,0,11092.338010921023,106,101
6051,D,85,0,11087.0972193592,127,109
6051,E,77,0,10361.674648959728,113,105
6052,D,70,3,11997.155999487455,110,98
6052,E,71,2,11667.81816283827,108,102
6053,D,66,0,12130.644251462092,116,100
6053,E,64,1,11292.831009174659,108,100
6054,D,60,0,12673.173578296626,111,95
6054,E,59,1,12258.077761137156,107,97
6055,D,51,0,11998.608056644325,102,89
6055,E,50,0,11376.060272893943,95,89
6056,D,62,1,11845.304248062303,107,92
6056,E,79,0,10528.99270768796,120,113
6057,D,79,4,12504.011776853662,127,112
6057,E,77,3,12552.75783096627,121,113
6058,D,79,0,10920.952183729305,118,107
6058,E,79,0,10399.855883972057,110,106
6059,D,52,1,12332.305862476684,98,87
6059,E,50,0,12422.694333739706,96,88
6060,D,59,0,11953.178463938248,97,90
6060,E,58,0,11880.930274812818,96,88
6061,D,84,0,12529.129162049374,126,113
6061,E,82,1,12114.126788011552,126,112
6062,D,47,1,11810.338027102287,98,87
6062,E,38,0,12026.450920514124,85,77
6063,D,55,0,13445.2181007389,110,95
6063,E,48,0,13258.387833989329,98,93
6064,D,90,0,9577.460809321417,127,113
6064,E,80,0,9124.491368242961,113,105
6065,D,82,0,10064.87000146893,117,106
6065,E,80,1,9923.465067403711,115,109
6066,D,71,1,13322.73343816026,116,102
6066,E,63,0,12356.437279648408,106,102
6067,D,40,2,13788.71414436776,93,80
6067,E,52,1,11380.592522776296,100,90
6068,D,64,0,10968.419791806737,104,99
6068,E,65,1,11061.735520915947,106,101
6069,D,55,0,13300.939946914461,100,92
6069,E,57,0,12269.192221182231,105,99
6070,D,92,0,12502.084434896205,130,113
6070,E,90,0,11917.102663531809,119,111
6071,D,86,1,9802.441275239613,115,110
6071,E,86,1,8930.458513903002,113,110
6072,D,57,0,12726.212936122753,106,91
6072,E,56,1,12456.499086343358,99,94
6073,D,58,0,11861.831410590094,110,99
6073,E,58,0,11876.287161890192,108,102
6074,D,53,1,11841.14076272088,102,91
6074,E,51,1,11451.957710780916,100,95
6075,D,52,0,12725.643476063002,101,92
6075,E,50,0,11742.568234911707,95,90
6076,D,60,0,12340.449592097668,114,94
6076,E,66,0,12010.149200035421,111,104
6077,D,75,0,11809.61306688986,120,106
6077,E,71,0,12087.107316938935,112,104
6078,D,70,0,11833.317606228851,106,97
6078,E,66,0,11812.635822974915,101,97
6079,D,51,1,12761.194800828769,100,90
6079,E,46,0,12564.219367204425,92,85
6080,D,56,1,13313.807918058921,102,91
6080,E,60,0,12766.540482253895,110,101
6081,D,53,0,11401.120606618533,102,94
6081,E,42,0,11468.20414936004,94,87
6082,D,59,2,12371.22209079607,110,95
6082,E,59,0,12181.35090689316,105,96
6083,D,54,0,12238.092489637806,103,94
6083,E,51,0,12126.996838123245,99,93
6084,D,83,0,10562.115783338824,112,104
6084,E,83,1,9578.95792168692,113,106
6085,D,50,0,12127.779541010415,103,90
6085,E,47,0,11744.62060868649,97,88
6086,D,72,0,11317.494440578059,118,108
6086,E,69,0,11031.84706781642,111,104
6087,D,79,1,12162.39866736173,125,107
6087,E,78,2,11364.514193479787,118,110
6088,D,61,0,9413.939736394352,97,92
6088,E,59,0,9306.066899433381,95,90
6089,D,69,0,11159.773118574782,103,99
6089,E,66,0,10732.598471948153,107,101
6090,D,70,0,10608.501932609817,109,101
6090,E,59,1,9581.954509449486,98,95
6091,D,90,1,10600.988774530384,122,109
6091,E,87,0,10684.183531344028,121,111
6092,D,50,1,12611.516325125322,99,88
6092,E,50,0,13591.62320862707,97,89
6093,D,65,0,13511.764085475234,118,98
6093,E,60,0,11602.440526802318,103,96
6094,D,65,1,13077.315773770915,109,99
6094,E,61,0,12703.93378530902,101,97
6095,D,78,0,13608.90971055891,126,109
6095,E,73,1,12524.860525405937,116,108
6096,D,85,0,10964.211064626286,120,113
6096,E,71,1,11222.139192772476,107,100
6097,D,76,0,12585.14224791358,122,111
6097,E,72,0,12596.408584075303,115,108
6098,D,71,2,12942.845835076934,126,105
6098,E,71,1,12132.984501732108,116,108
6099,D,67,0,12440.143683298505,120,106
6099,E,51,0,12592.715495451424,99,91
6100,D,90,0,11502.615689758502,123,112
6100,E,89,0,11074.022022737561,122,115
