phase,variant,n,mean_s,median_s,p90_s,p95_s,worst_s,all_pass,mean_move_time,mean_RF_detection_time,mean_channel_switch_time,mean_optical_time,mean_clear_time
round7,frozen_D,8,3082.6818275,3037.4899320000004,3322.2033402,3348.1850911,3374.166842,True,2350.181827136626,565,99.875,40.875,26.75
round7,rotate_only,8,3120.38184725,3086.1320404999997,3294.6525807,3297.2929243500002,3299.933268,True,2385.881847018405,566.25,100.25,41.25,26.75
round7,replan_one,8,3130.405478625,3068.8070755,3502.9321339999997,3559.0850035,3615.237873,True,2363.5304785214466,588.75,109.375,42,26.75
round7,replan_area_rotate,8,3141.234614,3141.9998495,3292.3723634,3303.1676857,3313.963008,True,2347.234613968855,615,110.25,42,26.75
round7,area_only,8,3160.45894325,3150.088596,3348.651965,3350.29518,3351.938395,True,2380.458944399236,610.625,99.875,42.75,26.75
round7,centroid_only,8,3162.231171125,3144.6099985,3299.6542919,3316.16249445,3332.670697,True,2461.3561712322617,533.75,98,42.375,26.75
round7,replan_rotate,8,3162.278747,3100.4920174999997,3366.2887481,3490.76331055,3615.237873,True,2401.1537473157223,583.75,108.625,42,26.75
round8,reception_replan,8,3051.3070456250002,2964.2017610000003,3414.9337844,3473.4136352,3531.893486,True,2304.4320448461226,571.25,107.25,41.625,26.75
round8,frozen_D,8,3082.6818275,3037.4899320000004,3322.2033402,3348.1850911,3374.166842,True,2350.181827136626,565,99.875,40.875,26.75
round8,replace_scan,8,3082.6818275,3037.4899320000004,3322.2033402,3348.1850911,3374.166842,True,2350.181827136626,565,99.875,40.875,26.75
round8,replace_scan30,8,3082.6818275,3037.4899320000004,3322.2033402,3348.1850911,3374.166842,True,2350.181827136626,565,99.875,40.875,26.75
round8,shared1000,8,3083.699026625,3037.042022,3330.187669,3418.4324865,3506.677304,True,2376.57402644624,543.125,96.375,40.875,26.75
round8,reception_rollout,8,3089.34824775,2995.9187620000002,3396.5171242,3442.8515781,3489.186032,True,2372.2232472192823,548.75,100.375,41.25,26.75
round8,replan_scan30,8,3130.405478625,3068.8070755,3502.9321339999997,3559.0850035,3615.237873,True,2363.5304785214466,588.75,109.375,42,26.75
round8,reception_area,8,3203.29263125,3192.7964620000002,3445.3896129,3479.6008574499997,3513.812102,True,2419.5426334589665,614.375,100.625,42,26.75
round9,commit120,12,3098.8551628333335,3143.480509,3251.7361712,3332.9366558,3426.983644,True,2362.521828946119,565.4166666666666,106.41666666666667,39,25.5
round9,commit40,12,3101.05025825,3140.5331545,3268.8279263,3347.2405935999996,3435.559147,True,2359.8002575500095,569.1666666666666,107.83333333333333,38.75,25.5
round9,reception_shared1200,12,3103.77688325,3133.677251,3274.2870656,3349.36911355,3435.256882,True,2372.1935495879156,561.6666666666666,105.41666666666667,39,25.5
round9,reception_replan,12,3105.5558719166665,3136.6753835,3280.5870656,3353.2191135499997,3435.256882,True,2360.555871588215,572.5,108,39,25.5
round9,lateral_small,12,3105.5558719166665,3136.6753835,3280.5870656,3353.2191135499997,3435.256882,True,2360.555871588215,572.5,108,39,25.5
round9,hysteresis30,12,3119.9963395833333,3143.0282930000003,3276.7166021000003,3350.8538303,3435.256882,True,2374.163005774054,573.3333333333334,108,39,25.5
round9,frozen_D,12,3131.1479956666667,3152.3572445,3299.6180059999997,3390.5732536,3501.410369,True,2381.147995909515,580.8333333333334,103.91666666666667,39.75,25.5
round9,hysteresis90,12,3140.4320949166668,3148.965645,3436.9213172000004,3478.2734551,3500.849645,True,2398.2654281060586,570,107.41666666666667,39.25,25.5
round10,shared1200,12,3087.1814235,3135.4644015000003,3245.4361712,3329.0866558,3426.983644,True,2366.5147561075414,552.9166666666666,103.5,38.75,25.5
round10,trial80,12,3091.720045,3144.3595530000002,3232.2897569,3309.9873096,3401.905657,True,2362.386711484041,556.25,105.83333333333333,41.75,25.5
round10,trial60,12,3094.38127425,3144.6225995,3244.972475,3326.7112730999997,3421.846576,True,2362.4646070962235,560,105.91666666666667,40.5,25.5
round10,eager16,12,3097.3551628333335,3143.480509,3251.7361712,3332.9366558,3426.983644,True,2362.521828946119,564.1666666666666,106.16666666666667,39,25.5
round10,commit120_control,12,3098.8551628333335,3143.480509,3251.7361712,3332.9366558,3426.983644,True,2362.521828946119,565.4166666666666,106.41666666666667,39,25.5
round10,D_eager16,12,3129.6479956666667,3143.3572445,3299.6180059999997,3390.5732536,3501.410369,True,2381.147995909515,579.5833333333334,103.66666666666667,39.75,25.5
round10,frozen_D,12,3131.1479956666667,3152.3572445,3299.6180059999997,3390.5732536,3501.410369,True,2381.147995909515,580.8333333333334,103.91666666666667,39.75,25.5
E_validation100,frozen_E,100,3002.13576445,2996.9816535,3294.9641216000005,3381.9340762,3580.391488,True,2298.03576432983,535.95,100.45,41.04,26.66
E_validation100,frozen_D,100,3111.69817226,3121.446185,3414.5939272,3507.97917475,3651.14483,True,2382.578172552398,561.4,99.6,41.46,26.66
E_stress,frozen_E,4,3448.32309675,3764.963616,4024.4071476,4037.2965078,4050.185868,True,2687.0730969501465,576.25,105,48,32
E_stress,frozen_D,4,3555.49770125,3881.2956569999997,4080.6249829,4087.79383945,4094.962696,True,2755.247700237149,613.75,105,49.5,32
