phase,variant,n,mean_s,median_s,p90_s,mean_s_per_source,p95_s,worst_s,all_pass,mean_move_time,mean_RF_detection_time,mean_channel_switch_time,mean_optical_time,mean_clear_time
F_round1,task_optical,8,3070.114586625,3099.1820345,3261.7962354,236.80125880378114,3312.6037642,3363.411293,True,2340.989587518503,556.875,104.375,41.625,26.25
F_round1,frozen_E,8,3070.297245625,3098.935362,3267.34547,236.7999079343953,3315.3783815,3363.411293,True,2340.5472469195133,557.5,104.375,41.625,26.25
F_round1,negative_only,8,3070.297245625,3098.935362,3267.34547,236.7999079343953,3315.3783815,3363.411293,True,2340.5472469195133,557.5,104.375,41.625,26.25
F_round1,joint_only,8,3070.297245625,3098.935362,3267.34547,236.7999079343953,3315.3783815,3363.411293,True,2340.5472469195133,557.5,104.375,41.625,26.25
F_round1,information,8,3070.297245625,3098.935362,3267.34547,236.7999079343953,3315.3783815,3363.411293,True,2340.5472469195133,557.5,104.375,41.625,26.25
F_round1,task_search,8,3071.643235625,3098.935362,3267.34547,236.91207376772863,3315.3783815,3363.411293,True,2341.5182368363385,557.5,104.375,42,26.25
F_round1,task_tail,8,3089.758510625,3106.2395779999997,3294.6455952,238.23325176923024,3351.0749170999998,3407.504239,True,2349.758511452854,568.125,105.125,40.5,26.25
F_round1,task_safe_shared,8,3165.122392,3233.7016839999997,3373.2136292,244.4834761507914,3426.8367841,3480.459939,True,2455.6223936384426,541.875,99.75,41.625,26.25
F_round2,frozen_E,12,3004.2063634166666,2906.106254,3341.2209596000002,235.61742222205433,3435.25565265,3528.857379,True,2306.0396958359397,532.0833333333334,98.66666666666667,41.25,26.166666666666668
F_round2,negative_disks,12,3006.1196105,2907.3218765,3337.1752177999997,235.6333035898199,3425.75666995,3514.635994,True,2312.7862768496775,528.75,98.16666666666667,40.25,26.166666666666668
F_round2,flex_negative,12,3121.997597833333,3084.9107080000003,3588.7839583,244.42909568257784,3629.31689895,3641.931859,True,2235.41426419467,688.75,130.91666666666666,40.75,26.166666666666668
F_round2,flex_search,12,3159.3541510833334,3130.233307,3590.5013602,247.02766567469092,3622.08916345,3637.67502,True,2243.1041501351096,713.75,135.33333333333334,41,26.166666666666668
F_round3,budgeted_through,12,2986.5218585000002,2896.5467365,3332.623009,234.26287570768469,3433.64068725,3537.918963,True,2287.855190948504,532.5,99.25,40.75,26.166666666666668
F_round3,through_clear,12,2993.661146916667,2896.5467365,3332.623009,234.70908123372635,3433.64068725,3537.918963,True,2294.911146106134,532.9166666666666,98.91666666666667,40.75,26.166666666666668
F_round3,through_negative,12,2994.8650274166666,2885.3601425,3328.2293442,234.75081337274113,3418.0972446,3512.368118,True,2301.5316936301197,528.75,98.16666666666667,40.25,26.166666666666668
F_round3,budgeted_search,12,2996.8290626666667,2906.2443009999997,3341.2209596000002,235.05671721580433,3435.25565265,3528.857379,True,2298.9957286635295,531.6666666666666,99,41,26.166666666666668
F_round3,frozen_E,12,3004.2063634166666,2906.106254,3341.2209596000002,235.61742222205433,3435.25565265,3528.857379,True,2306.0396958359397,532.0833333333334,98.66666666666667,41.25,26.166666666666668
F_validation100,frozen_F,100,3033.65483008,3017.656606,3359.2549128,227.63314773708387,3424.3115878,3757.58598,True,2334.294830203943,531.2,99.4,41.64,27.12
F_validation100,frozen_E,100,3050.6181501,3034.688936,3371.1332352,228.8893074061292,3432.44072475,3606.371966,True,2351.9681500206298,530.7,99.25,41.58,27.12
F_stress,frozen_F,8,3002.0619512499998,3096.0935195,3650.084992,227.1192794875,3750.3685179999998,3850.652044,True,2283.31195094726,546.875,101.25,43.125,27.5
F_stress,frozen_E,8,3049.177815125,3158.6553955,3656.0641228,230.6730520015625,3756.3224299,3856.580737,True,2331.0528153462005,546.25,100.875,43.5,27.5
