variant,seed,run_id,total_s,s_per_source,tail_after_last_clear_s,final_source_count,accepted_RF_count,RF_no_signal_count,search_dedicated_stops,search_opportunistic_stops,search_channel_measurements,replaced_planned_stations,shared_tests,shared_positive,optical_exclusions,strip_fallbacks,feasible_region_checks,all_regions_keep_actual_source,wall_s
frozen_E,7001,20260912T033012113666Z-s7001-E-ce79ee6f,3226.174403,201.6359001875,0.0,16,119,65,0,0,0,0,0,0,0,0,0,True,10.133505499994499
frozen_E,7002,20260912T033012113666Z-s7002-E-b48660a3,2942.492364,267.4993058181818,551.133401,11,117,85,0,0,0,0,0,0,0,0,0,True,8.575229499998386
frozen_E,7003,20260912T033012114669Z-s7003-E-bc3b53cb,2730.161413,248.19649209090906,102.91997199999969,11,111,75,0,0,0,0,0,0,0,0,0,True,9.76477259999956
frozen_E,7004,20260912T033012115677Z-s7004-E-e6af8cb6,3079.249596,219.94639971428572,0.0,14,108,65,0,0,0,0,0,0,0,0,0,True,9.29232829999819
frozen_E,7005,20260912T033021295145Z-s7005-E-d5a96b03,3363.411293,224.22741953333335,0.0,15,112,65,0,0,0,0,0,0,0,0,0,True,11.34418100000039
frozen_E,7006,20260912T033021909514Z-s7006-E-ef532561,2983.147597,213.08197121428572,58.06885000000011,14,97,59,0,0,0,0,0,0,0,0,0,True,8.525205100006133
frozen_E,7007,20260912T033022407109Z-s7007-E-16d7f083,3119.120171,259.92668091666667,0.0,12,116,76,0,0,0,0,0,0,0,0,0,True,12.434538900000916
frozen_E,7008,20260912T033022728836Z-s7008-E-6cda6b43,3118.621128,259.88509400000004,0.0,12,112,78,0,0,0,0,0,0,0,0,0,True,11.563916200000676
negative_only,7001,20260912T033030959731Z-s7001-F-18cdc30d,3226.174403,201.6359001875,0.0,16,119,65,0,0,0,0,0,0,0,0,55,True,12.585313899995526
negative_only,7002,20260912T033033343987Z-s7002-F-c6be8cbf,2942.492364,267.4993058181818,551.133401,11,117,85,0,0,0,0,0,0,0,0,35,True,9.562129899997672
negative_only,7003,20260912T033034867577Z-s7003-F-0ae4c203,2730.161413,248.19649209090906,102.91997199999969,11,111,75,0,0,0,0,0,0,0,0,36,True,11.263412200001767
negative_only,7004,20260912T033035222605Z-s7004-F-36f712f1,3079.249596,219.94639971428572,0.0,14,108,65,0,0,0,0,0,0,0,0,44,True,11.865778399995179
negative_only,7005,20260912T033045048642Z-s7005-F-5ea54a70,3363.411293,224.22741953333335,0.0,15,112,65,0,0,0,0,0,0,0,0,48,True,12.061800900002709
negative_only,7006,20260912T033045794785Z-s7006-F-5704bfc6,2983.147597,213.08197121428572,58.06885000000011,14,97,59,0,0,0,0,0,0,0,0,39,True,8.494207300005655
negative_only,7007,20260912T033046438738Z-s7007-F-d97fa330,3119.120171,259.92668091666667,0.0,12,116,76,0,0,0,0,0,0,0,0,40,True,14.056252099995618
negative_only,7008,20260912T033047901313Z-s7008-F-985b9ece,3118.621128,259.88509400000004,0.0,12,112,78,0,0,0,0,0,0,0,0,34,True,13.043539999998757
joint_only,7001,20260912T033054922725Z-s7001-F-7c102eba,3226.174403,201.6359001875,0.0,16,119,65,0,0,0,0,0,0,0,0,55,True,13.605129899995518
joint_only,7002,20260912T033058857443Z-s7002-F-e14823e0,2942.492364,267.4993058181818,551.133401,11,117,85,0,0,0,0,0,0,0,0,35,True,10.315422900006524
joint_only,7003,20260912T033101362056Z-s7003-F-6f24d5d7,2730.161413,248.19649209090906,102.91997199999969,11,111,75,0,0,0,0,0,0,0,0,36,True,10.844850800000131
joint_only,7004,20260912T033101979945Z-s7004-F-0e7ed658,3079.249596,219.94639971428572,0.0,14,108,65,0,0,0,0,0,0,0,0,44,True,12.725329000000784
joint_only,7005,20260912T033109351132Z-s7005-F-f91ce8ce,3363.411293,224.22741953333335,0.0,15,112,65,0,0,0,0,0,0,0,0,48,True,12.258453200003714
joint_only,7006,20260912T033110719471Z-s7006-F-cee9cdf8,2983.147597,213.08197121428572,58.06885000000011,14,97,59,0,0,0,0,0,0,0,0,39,True,10.200118000000657
joint_only,7007,20260912T033113436268Z-s7007-F-5509e355,3119.120171,259.92668091666667,0.0,12,116,76,0,0,0,0,0,0,0,0,40,True,14.754054100005305
joint_only,7008,20260912T033115642098Z-s7008-F-6acc379e,3118.621128,259.88509400000004,0.0,12,112,78,0,0,0,0,0,0,0,0,34,True,13.056014099995082
information,7001,20260912T033121681136Z-s7001-F-dedf69a0,3226.174403,201.6359001875,0.0,16,119,65,0,0,0,0,0,0,0,0,55,True,14.004353300006187
information,7002,20260912T033122105461Z-s7002-F-7997437e,2942.492364,267.4993058181818,551.133401,11,117,85,0,0,0,0,0,0,0,0,35,True,9.710402199998498
information,7003,20260912T033129233650Z-s7003-F-307ddaac,2730.161413,248.19649209090906,102.91997199999969,11,111,75,0,0,0,0,0,0,0,0,36,True,10.241558399997302
information,7004,20260912T033129992082Z-s7004-F-b6130dc2,3079.249596,219.94639971428572,0.0,14,108,65,0,0,0,0,0,0,0,0,44,True,10.777188299995032
information,7005,20260912T033132806648Z-s7005-F-c61de972,3363.411293,224.22741953333335,0.0,15,112,65,0,0,0,0,0,0,0,0,48,True,9.066302600003837
information,7006,20260912T033136703824Z-s7006-F-c966b9da,2983.147597,213.08197121428572,58.06885000000011,14,97,59,0,0,0,0,0,0,0,0,39,True,5.94764810000197
information,7007,20260912T033139836361Z-s7007-F-c74a0106,3119.120171,259.92668091666667,0.0,12,116,76,0,0,0,0,0,0,0,0,40,True,6.98549389999971
information,7008,20260912T033141706695Z-s7008-F-0a114542,3118.621128,259.88509400000004,0.0,12,112,78,0,0,0,0,0,0,0,0,34,True,6.181993300000613
task_search,7001,20260912T033142959741Z-s7001-F-b073f83b,3226.174403,201.6359001875,0.0,16,119,65,7,0,81,0,24,23,0,0,55,True,7.764857699999993
task_search,7002,20260912T033143360517Z-s7002-F-1085e3fe,2942.492364,267.4993058181818,551.133401,11,117,85,7,0,93,0,17,14,0,0,35,True,6.37476940000488
task_search,7003,20260912T033147269026Z-s7003-F-325c9ede,2730.161413,248.19649209090906,102.91997199999969,11,111,75,7,0,86,0,14,14,0,0,36,True,6.387478299999202
task_search,7004,20260912T033148096509Z-s7004-F-bd50a397,3079.249596,219.94639971428572,0.0,14,108,65,7,0,78,0,15,14,0,0,44,True,6.900553400002536
task_search,7005,20260912T033150024321Z-s7005-F-0db411e6,3363.411293,224.22741953333335,0.0,15,112,65,7,0,79,0,19,18,0,0,48,True,7.515432299995155
task_search,7006,20260912T033151154211Z-s7006-F-99fef1ef,2983.147597,213.08197121428572,58.06885000000011,14,97,59,7,0,72,0,18,17,0,0,39,True,6.505827600005432
task_search,7007,20260912T033153973571Z-s7007-F-9915aaeb,3129.888091,260.8240075833333,0.0,12,116,76,6,1,88,0,11,11,0,0,40,True,7.8572615000011865
task_search,7008,20260912T033155137969Z-s7008-F-ad976ac1,3118.621128,259.88509400000004,0.0,12,112,78,7,0,90,0,10,10,0,0,34,True,7.300754500000039
task_tail,7001,20260912T033157940908Z-s7001-F-e9119e18,3246.277605,202.8923503125,0.0,16,120,65,7,0,81,0,24,23,0,0,56,True,8.130787699999928
task_tail,7002,20260912T033158241704Z-s7002-F-d1fab078,2931.221745,266.4747040909091,551.133401,11,119,85,7,0,93,0,18,15,0,0,37,True,7.286543399997754
task_tail,7003,20260912T033202309943Z-s7003-F-0a1ba8e5,2730.161413,248.19649209090906,102.91997199999969,11,111,75,7,0,86,0,14,14,0,0,36,True,8.233275700004015
task_tail,7004,20260912T033202777756Z-s7004-F-dc166049,3096.348188,221.16772771428572,0.0,14,113,65,7,0,78,0,15,14,0,0,49,True,10.577797400001145
task_tail,7005,20260912T033205828756Z-s7005-F-231906bc,3407.504239,227.16694926666665,0.0,15,117,66,7,0,79,0,20,18,0,0,53,True,14.588541999997688
task_tail,7006,20260912T033207169238Z-s7006-F-a252faa1,2988.589848,213.47070342857143,0.0,14,99,58,7,0,72,0,19,19,0,0,41,True,11.786501399998087
task_tail,7007,20260912T033211818618Z-s7007-F-b56d3b0b,3201.834079,266.81950658333335,183.4199090000002,12,118,76,7,0,88,0,13,13,0,0,42,True,17.358207299999776
task_tail,7008,20260912T033214135363Z-s7008-F-ea7df173,3116.130968,259.67758066666664,0.0,12,112,78,7,0,90,0,10,10,0,0,34,True,15.720017299994652
task_optical,7001,20260912T033220543962Z-s7001-F-e3a1c87f,3218.246925,201.1404328125,0.0,16,118,65,7,0,81,0,24,23,2,0,56,True,27.904228500003228
task_optical,7002,20260912T033220914794Z-s7002-F-92910c2c,2942.492364,267.4993058181818,551.133401,11,117,85,7,0,93,0,17,14,0,0,35,True,13.940042999995057
task_optical,7003,20260912T033230311588Z-s7003-F-e07ccdb5,2726.636615,247.8760559090909,102.91997199999969,11,111,75,7,0,86,0,14,14,1,0,37,True,24.313743999999133
task_optical,7004,20260912T033230866765Z-s7004-F-4b7a2444,3079.742941,219.98163864285715,0.0,14,108,65,7,0,78,0,15,14,1,0,45,True,26.85633349999989
task_optical,7005,20260912T033236115141Z-s7005-F-dd649ab7,3363.411293,224.22741953333335,0.0,15,112,65,7,0,79,0,19,18,0,0,48,True,23.334298699999636
task_optical,7006,20260912T033250231292Z-s7006-F-b828d27d,2983.147597,213.08197121428572,58.06885000000011,14,97,59,7,0,72,0,18,17,0,0,39,True,17.09178360000078
task_optical,7007,20260912T033255311125Z-s7007-F-b7619110,3128.61783,260.71815250000003,0.0,12,116,76,6,1,88,0,11,11,2,0,42,True,27.746823299996322
task_optical,7008,20260912T033258318477Z-s7008-F-c9d7cbb2,3118.621128,259.88509400000004,0.0,12,112,78,7,0,90,0,10,10,0,0,34,True,22.84120420000545
task_safe_shared,7001,20260912T033303025415Z-s7001-F-6ceceeeb,3228.318391,201.7698994375,0.0,16,113,64,7,0,81,0,13,13,0,0,49,True,20.206432899998617
task_safe_shared,7002,20260912T033312198386Z-s7002-F-265f540e,2975.63148,270.5119527272727,507.4424319999998,11,114,82,7,0,93,0,11,11,0,0,32,True,15.466561399996863
task_safe_shared,7003,20260912T033321974336Z-s7003-F-cc2cd5fb,2899.656757,263.60515972727273,102.91997200000014,11,105,75,7,0,86,0,5,5,0,0,30,True,13.505369799997425
task_safe_shared,7004,20260912T033323546786Z-s7004-F-87764919,3243.10735,231.65052500000002,0.0,14,106,64,7,0,78,0,9,9,0,0,42,True,16.316703399999824
task_safe_shared,7005,20260912T033323549436Z-s7005-F-a69a9085,3480.459939,232.0306626,0.0,15,106,64,7,0,79,0,5,5,0,0,42,True,15.788323699998728
task_safe_shared,7006,20260912T033329315811Z-s7006-F-fc98f3d2,2927.469317,209.1049512142857,58.06885000000011,14,94,58,7,0,72,0,13,13,0,0,36,True,11.858000599997467
task_safe_shared,7007,20260912T033337176238Z-s7007-F-37d265ad,3239.084977,269.92374808333335,0.0,12,116,80,6,1,92,1,11,11,0,0,36,True,8.846192400000291
task_safe_shared,7008,20260912T033340109680Z-s7008-F-c6b44acc,3327.250925,277.27091041666665,0.0,12,113,79,7,0,91,0,4,4,0,0,34,True,7.412462799999048
