variant,seed,run_id,total_s,s_per_source,tail_after_last_clear_s,final_source_count,accepted_RF_count,RF_no_signal_count,search_dedicated_stops,search_opportunistic_stops,search_channel_measurements,unknown_channel_action_s,RF_on_absent_channels,replaced_planned_stations,shared_tests,shared_positive,optical_exclusions,strip_fallbacks,feasible_region_checks,all_regions_keep_actual_source,wall_s
frozen_E,7011,20260912T034309458140Z-s7011-E-e1594f88,2880.417817,221.5706013076923,0.0,13,98,59,7,0,69,1149.4138223148927,49,0,0,0,0,0,0,True,7.302064999996219
frozen_E,7012,20260912T034309461151Z-s7012-E-356949ea,2883.539849,180.2212405625,0.0,16,91,44,5,0,52,1201.9426910586353,23,0,0,0,0,0,0,True,6.561291500001971
frozen_E,7013,20260912T034309463668Z-s7013-E-68ad9d39,2791.406085,214.723545,0.0,13,98,61,7,0,74,1409.6280142006683,49,0,0,0,0,0,0,True,7.10153540000465
frozen_E,7014,20260912T034309465361Z-s7014-E-d7c71709,3129.722339,223.55159564285714,0.0,14,112,70,7,0,82,1167.915564338458,42,0,0,0,0,0,0,True,7.972905999995419
frozen_E,7015,20260912T034316419872Z-s7015-E-c9061731,2829.65398,282.965398,165.6993809999999,10,118,86,7,0,95,1260.345804330101,70,0,0,0,0,0,0,True,11.52306580000004
frozen_E,7016,20260912T034316830620Z-s7016-E-2483f8b8,3184.157798,212.27718653333335,0.0,15,109,65,7,0,77,1175.799748667797,35,0,0,0,0,0,0,True,11.394815300001937
frozen_E,7017,20260912T034316979049Z-s7017-E-8c2927a8,2928.672659,225.2825122307692,103.85272299999997,13,106,64,7,0,77,1164.3474846233607,49,0,0,0,0,0,0,True,11.404817100003129
frozen_E,7018,20260912T034317640412Z-s7018-E-586e74bb,2777.684211,277.76842109999996,0.0,10,111,81,7,0,91,1446.4217606524105,70,0,0,0,0,0,0,True,10.569795700001123
frozen_E,7019,20260912T034328683661Z-s7019-E-1041aff5,2716.457147,169.7785716875,0.0,16,86,38,4,0,49,578.5880743764864,19,0,0,0,0,0,0,True,13.00734189999639
frozen_E,7020,20260912T034328692890Z-s7020-E-0d762c4d,3358.672422,279.8893685,0.0,12,121,80,7,0,90,1549.9146194828436,56,0,0,0,0,0,0,True,14.993034099999932
frozen_E,7021,20260912T034328740199Z-s7021-E-5020389b,3528.857379,235.2571586,0.0,15,109,61,7,0,73,1059.5883608073868,35,0,0,0,0,0,0,True,14.79270180000458
frozen_E,7022,20260912T034329072168Z-s7022-E-21d724fc,3041.234675,304.1234675,357.1612890000001,10,118,89,7,0,99,1645.5758847168863,70,0,0,0,0,0,0,True,14.507816999997885
budgeted_search,7011,20260912T034342192928Z-s7011-F-4004b4a5,2880.417817,221.5706013076923,0.0,13,98,59,7,0,69,1149.4138223148927,49,0,18,15,0,0,42,True,8.613249199996062
budgeted_search,7012,20260912T034343813560Z-s7012-F-2da28820,2883.815943,180.2384964375,0.0,16,91,44,6,0,59,1201.9426910586353,23,0,27,25,0,0,49,True,9.24233720000484
budgeted_search,7013,20260912T034343888012Z-s7013-F-045feb0d,2791.406085,214.723545,0.0,13,98,61,7,0,74,1409.6280142006683,49,0,18,18,0,0,37,True,8.981455499997537
budgeted_search,7014,20260912T034344004839Z-s7014-F-675c972c,3129.722339,223.55159564285714,0.0,14,112,70,7,0,82,1167.915564338458,42,0,16,14,0,0,44,True,11.198856199996953
budgeted_search,7015,20260912T034352712534Z-s7015-F-6217f26c,2797.774393,279.7774393,165.69938100000036,10,117,86,7,0,95,1263.614116116957,70,0,12,11,0,0,32,True,9.444813099995372
budgeted_search,7016,20260912T034353374487Z-s7016-F-38282711,3184.157798,212.27718653333335,0.0,15,109,65,7,0,77,1175.799748667797,35,0,20,17,0,0,47,True,12.71080670000083
budgeted_search,7017,20260912T034353761007Z-s7017-F-7e5a4f08,2928.672659,225.2825122307692,103.85272299999997,13,106,64,7,0,77,1164.3474846233607,49,0,16,16,0,0,42,True,12.56195039999875
budgeted_search,7018,20260912T034356044570Z-s7018-F-22245cce,2777.684211,277.76842109999996,0.0,10,111,81,7,0,91,1446.4217606524105,70,0,10,10,0,0,30,True,10.923483899998246
budgeted_search,7019,20260912T034402572696Z-s7019-F-4a0c6ad3,2659.533031,166.2208144375,0.0,16,86,39,3,2,54,476.8583650359849,19,1,19,17,0,0,49,True,10.09624790000089
budgeted_search,7020,20260912T034407127783Z-s7020-F-98b23382,3358.672422,279.8893685,0.0,12,121,80,7,0,90,1549.9146194828436,56,0,14,12,0,0,43,True,16.2732354999971
budgeted_search,7021,20260912T034407140071Z-s7021-F-65313793,3528.857379,235.2571586,0.0,15,109,61,7,0,73,1059.5883608073868,35,0,21,18,0,0,51,True,16.223555299999134
budgeted_search,7022,20260912T034408130951Z-s7022-F-c4ae0c85,3041.234675,304.1234675,357.1612890000001,10,118,89,7,0,99,1645.5758847168863,70,0,7,7,0,0,29,True,14.262027400000079
through_clear,7011,20260912T034414275055Z-s7011-F-4b32c9e5,2842.86583,218.68198692307695,0.0,13,99,59,7,0,69,1141.3254459196144,49,0,0,0,0,0,43,True,10.023395000003802
through_clear,7012,20260912T034423570598Z-s7012-F-ba25b844,2889.3583,180.58489375,0.0,16,93,44,5,0,52,1193.3932010565168,23,0,0,0,0,0,51,True,7.926237899999251
through_clear,7013,20260912T034424265008Z-s7013-F-66b7c387,2785.747904,214.28830030769228,0.0,13,98,61,7,0,74,1402.5989877040092,49,0,0,0,0,0,37,True,7.858854999998584
through_clear,7014,20260912T034424275534Z-s7014-F-d7b3f4de,3137.506458,224.10760414285713,0.0,14,112,70,7,0,82,1159.746626428478,42,0,0,0,0,0,44,True,10.0078732999973
through_clear,7015,20260912T034425399492Z-s7015-F-cafdf151,2789.265389,278.9265389,165.73261200000024,10,117,86,7,0,95,1255.5032491064553,70,0,0,0,0,0,32,True,8.825658299996576
through_clear,7016,20260912T034432574902Z-s7016-F-3107c905,3191.331208,212.75541386666666,0.0,15,108,64,7,0,77,1171.8551640557348,35,0,0,0,0,0,46,True,11.689930600005027
through_clear,7017,20260912T034432718898Z-s7017-F-3629056e,2903.735173,223.3642440769231,103.59586100000024,13,106,64,7,0,77,1152.2306421129945,49,0,0,0,0,0,42,True,11.591828299999179
through_clear,7018,20260912T034434991322Z-s7018-F-2cb77cee,2772.837742,277.28377420000004,0.0,10,111,81,7,0,91,1433.2850719335827,70,0,0,0,0,0,30,True,10.74455940000189
through_clear,7019,20260912T034435002090Z-s7019-F-12885cea,2690.036183,168.1272614375,0.0,16,87,38,4,0,49,572.5569329584588,19,0,0,0,0,0,50,True,10.711449199996423
through_clear,7020,20260912T034445003219Z-s7020-F-d90cd0fa,3348.322098,279.0268415,0.0,12,121,80,7,0,90,1538.9693714161947,56,0,0,0,0,0,43,True,16.538104700004624
through_clear,7021,20260912T034445016326Z-s7021-F-85f10268,3537.918963,235.8612642,0.0,15,109,61,7,0,73,1059.3258596668484,35,0,0,0,0,0,51,True,16.115060999996786
through_clear,7022,20260912T034446240874Z-s7022-F-a506640c,3035.008515,303.5008515,355.036752,10,118,89,7,0,99,1640.2223214721926,70,0,0,0,0,0,29,True,14.478132299998833
through_negative,7011,20260912T034446310410Z-s7011-F-3ee7c83d,2830.997618,217.76904753846154,0.0,13,97,57,7,0,69,1141.3017723554212,49,0,0,0,0,0,41,True,15.387267700003576
through_negative,7012,20260912T034501477403Z-s7012-F-66a1dcac,2865.029116,179.06431975,0.0,16,94,45,6,0,55,930.5179367818073,27,0,0,0,1,0,52,True,19.700115300001926
through_negative,7013,20260912T034501546563Z-s7013-F-f1c5f22e,2785.747904,214.28830030769228,0.0,13,98,61,7,0,74,1402.5989877040092,49,0,0,0,0,0,37,True,14.346083100004762
through_negative,7014,20260912T034502160139Z-s7014-F-43508433,3128.233595,223.4452567857143,0.0,14,111,70,7,0,82,1161.0367854851936,42,0,0,0,0,0,43,True,26.259319600001618
through_negative,7015,20260912T034503377477Z-s7015-F-41676238,2790.321427,279.0321427,165.6993809999999,10,117,86,7,0,95,1256.789993222258,70,0,0,0,1,0,33,True,22.01561500000389
through_negative,7016,20260912T034516992187Z-s7016-F-d4de8387,3213.594672,214.2396448,0.0,15,106,64,7,0,77,1171.9778785287508,35,0,0,0,0,0,44,True,22.55633669999952
through_negative,7017,20260912T034522160450Z-s7017-F-fe6866e4,2905.691169,223.5147053076923,103.59586100000024,13,106,64,7,0,77,1151.7183564856,49,0,0,0,0,0,42,True,22.023371600000246
through_negative,7018,20260912T034526043366Z-s7018-F-de308f5a,2771.499054,277.14990539999997,0.0,10,111,81,7,0,91,1433.0161006044025,70,0,0,0,1,0,31,True,31.334101599997666
through_negative,7019,20260912T034529683298Z-s7019-F-7bc94bc8,2758.89138,172.43071125,0.0,16,87,38,4,0,49,575.2929852137567,19,0,0,0,0,0,50,True,36.02076959999977
through_negative,7020,20260912T034544959485Z-s7020-F-a36692f9,3340.96653,278.4138775,0.0,12,119,79,7,0,90,1538.838369992708,56,0,0,0,0,0,41,True,32.66238290000183
through_negative,7021,20260912T034546118917Z-s7021-F-3796eb56,3512.368118,234.1578745333333,0.0,15,105,59,7,0,73,1063.8260850291567,35,0,0,0,0,0,47,True,27.290376700002525
through_negative,7022,20260912T034558700840Z-s7022-F-057016c9,3035.039746,303.5039746,355.036752,10,118,89,7,0,99,1640.2223214721926,70,0,0,0,1,0,30,True,23.08168350000051
budgeted_through,7011,20260912T034607751722Z-s7011-F-7eb3c79d,2842.86583,218.68198692307695,0.0,13,99,59,7,0,69,1141.3254459196144,49,0,20,17,0,0,43,True,12.293600899996818
budgeted_through,7012,20260912T034616306954Z-s7012-F-c9503287,2889.3583,180.58489375,0.0,16,93,44,6,0,59,1193.3932010565168,23,0,29,27,0,0,51,True,9.10370750000584
budgeted_through,7013,20260912T034619892673Z-s7013-F-259da72e,2785.747904,214.28830030769228,0.0,13,98,61,7,0,74,1402.5989877040092,49,0,18,18,0,0,37,True,8.399412700004177
budgeted_through,7014,20260912T034625060678Z-s7014-F-04affe76,3137.506458,224.10760414285713,0.0,14,112,70,7,0,82,1159.746626428478,42,0,16,14,0,0,44,True,11.766637400003674
budgeted_through,7015,20260912T034626545753Z-s7015-F-8ecede09,2789.265389,278.9265389,165.73261200000024,10,117,86,7,0,95,1255.5032491064553,70,0,12,11,0,0,32,True,10.996003800006292
budgeted_through,7016,20260912T034627925230Z-s7016-F-0c162aa4,3191.331208,212.75541386666666,0.0,15,108,64,7,0,77,1171.8551640557348,35,0,20,18,0,0,46,True,11.208389999999781
budgeted_through,7017,20260912T034630390743Z-s7017-F-cefb38fe,2903.735173,223.3642440769231,103.59586100000024,13,106,64,7,0,77,1152.2306421129945,49,0,16,16,0,0,42,True,11.971609099993657
budgeted_through,7018,20260912T034637625977Z-s7018-F-608ad381,2772.837742,277.28377420000004,0.0,10,111,81,7,0,91,1433.2850719335827,70,0,10,10,0,0,30,True,12.340322700001707
budgeted_through,7019,20260912T034637844945Z-s7019-F-956c9a74,2604.364722,162.772795125,0.0,16,86,39,3,2,54,473.9428328956675,19,1,19,17,0,0,49,True,13.526499400002649
budgeted_through,7020,20260912T034640075286Z-s7020-F-aacc172f,3348.322098,279.0268415,0.0,12,121,80,7,0,90,1538.9693714161947,56,0,14,12,0,0,43,True,14.315014200001315
budgeted_through,7021,20260912T034643444101Z-s7021-F-27ca3781,3537.918963,235.8612642,0.0,15,109,61,7,0,73,1059.3258596668484,35,0,21,18,0,0,51,True,12.42255500000465
budgeted_through,7022,20260912T034650833628Z-s7022-F-6226ca18,3035.008515,303.5008515,355.036752,10,118,89,7,0,99,1640.2223214721926,70,0,7,7,0,0,29,True,7.3358103999999
