variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source
frozen_E,7011,20260912T034309458140Z-s7011-E-e1594f88,7be9b1245c6895a5976958ab8c85937e4e09163097fe8f1c1adef363efd8eea9,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,13,13,1.0,2880.417817,2234.417817536401,11172.089087682005,490,98,91,39,26,0,True,,7.302064999996219,221.5706013076923
frozen_E,7012,20260912T034309461151Z-s7012-E-356949ea,7be9b1245c6895a5976958ab8c85937e4e09163097fe8f1c1adef363efd8eea9,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,16,16,1.0,2883.539849,2254.539847726644,11272.69923863322,455,91,88,54,32,2,True,,6.561291500001971,180.2212405625
frozen_E,7013,20260912T034309463668Z-s7013-E-68ad9d39,7be9b1245c6895a5976958ab8c85937e4e09163097fe8f1c1adef363efd8eea9,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,13,13,1.0,2791.406085,2145.406083811151,10727.030419055754,490,98,91,39,26,0,True,,7.10153540000465,214.723545
frozen_E,7014,20260912T034309465361Z-s7014-E-d7c71709,7be9b1245c6895a5976958ab8c85937e4e09163097fe8f1c1adef363efd8eea9,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,14,14,1.0,3129.722339,2397.722340718621,11988.611703593106,560,112,102,42,28,0,True,,7.972905999995419,223.55159564285714
frozen_E,7015,20260912T034316419872Z-s7015-E-c9061731,7be9b1245c6895a5976958ab8c85937e4e09163097fe8f1c1adef363efd8eea9,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,10,10,1.0,2829.65398,2071.6539813186487,10358.269906593243,590,118,112,36,20,2,True,,11.52306580000004,282.965398
frozen_E,7016,20260912T034316830620Z-s7016-E-2483f8b8,7be9b1245c6895a5976958ab8c85937e4e09163097fe8f1c1adef363efd8eea9,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,15,15,1.0,3184.157798,2462.157796519526,12310.78898259763,545,109,102,45,30,0,True,,11.394815300001937,212.27718653333335
frozen_E,7017,20260912T034316979049Z-s7017-E-8c2927a8,7be9b1245c6895a5976958ab8c85937e4e09163097fe8f1c1adef363efd8eea9,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,13,13,1.0,2928.672659,2236.6726571176882,11183.36328558844,530,106,97,39,26,0,True,,11.404817100003129,225.2825122307692
frozen_E,7018,20260912T034317640412Z-s7018-E-586e74bb,7be9b1245c6895a5976958ab8c85937e4e09163097fe8f1c1adef363efd8eea9,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,10,10,1.0,2777.684211,2066.6842107303155,10333.421053651577,555,111,103,33,20,1,True,,10.569795700001123,277.76842109999996
frozen_E,7019,20260912T034328683661Z-s7019-E-1041aff5,7be9b1245c6895a5976958ab8c85937e4e09163097fe8f1c1adef363efd8eea9,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,16,16,1.0,2716.457147,2128.4571462298,10642.285731149,430,86,75,51,32,1,True,,13.00734189999639,169.7785716875
frozen_E,7020,20260912T034328692890Z-s7020-E-0d762c4d,7be9b1245c6895a5976958ab8c85937e4e09163097fe8f1c1adef363efd8eea9,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,12,12,1.0,3358.672422,2582.6724191278054,12913.362095639026,605,121,111,36,24,0,True,,14.993034099999932,279.8893685
