variant,seed,run_id,total_s,s_per_source,tail_after_last_clear_s,final_source_count,accepted_RF_count,RF_no_signal_count,search_dedicated_stops,search_opportunistic_stops,search_channel_measurements,unknown_channel_action_s,RF_on_absent_channels,replaced_planned_stations,shared_tests,shared_positive,optical_exclusions,strip_fallbacks,feasible_region_checks,all_regions_keep_actual_source,wall_s
frozen_E,8201,20260912T035530661496Z-s8201-E-15b3ea6c,3570.128431,223.1330269375,0.0,16,125,76,5,0,84,1868.401418720337,23,0,0,0,0,0,0,True,10.50449259999732
frozen_E,8202,20260912T035530664571Z-s8202-E-5dab006b,3856.580737,241.0362960625,0.0,16,123,73,6,0,81,1996.1388707574788,27,0,0,0,0,0,0,True,9.52050920000329
frozen_E,8203,20260912T035530666495Z-s8203-E-8648815b,2288.197478,143.012342375,0.0,16,82,41,5,0,52,1028.2989222202395,21,0,0,0,0,0,0,True,6.856234200000472
frozen_E,8204,20260912T035530667599Z-s8204-E-c5fa7d30,2688.439928,168.0274955,0.0,16,75,33,4,0,45,852.743451894157,18,0,0,0,0,0,0,True,6.3342382999981055
frozen_E,8205,20260912T035537614106Z-s8205-E-b3f29ee5,3259.88705,325.988705,242.01759599999968,10,127,97,7,0,107,1702.1107195691038,70,0,0,0,0,0,0,True,8.84066570000141
frozen_E,8206,20260912T035537947469Z-s8206-E-0fc5ae69,3057.423741,305.7423741,0.0,10,124,99,7,0,106,1763.2301953332924,70,0,0,0,0,0,0,True,8.413059499995143
frozen_E,8207,20260912T035540936552Z-s8207-E-b2cc2d5a,2237.236101,223.7236101,385.8204109999999,10,103,71,7,0,81,1343.2059980437803,70,0,0,0,0,0,0,True,6.889930299999833
frozen_E,8208,20260912T035541381658Z-s8208-E-a43628da,3435.529055,214.7205659375,0.0,16,115,67,5,0,77,1567.8288450489263,24,0,0,0,0,0,0,True,10.752163899996958
frozen_F,8201,20260912T035546988320Z-s8201-F-8a107f60,3564.127684,222.75798025,0.0,16,125,76,6,0,93,1860.528894390017,23,0,19,19,0,0,49,True,12.105359600005613
frozen_F,8202,20260912T035547438971Z-s8202-F-5b4d9d87,3850.652044,240.66575275,0.0,16,123,73,7,0,88,1992.1166510002313,27,0,24,22,0,0,52,True,12.788872600001923
frozen_F,8203,20260912T035548251470Z-s8203-F-2195cb0c,2060.390711,128.7744194375,0.0,16,79,42,6,0,57,1036.0492564420063,21,0,20,16,0,0,41,True,9.24525210000138
frozen_F,8204,20260912T035552345432Z-s8204-F-26ca42bf,2684.056654,167.753540875,0.0,16,75,33,5,0,50,848.7268524510237,18,0,18,17,0,0,43,True,8.248505900002783
frozen_F,8205,20260912T035558588811Z-s8205-F-54e53955,3143.657136,314.3657136,240.7977619999997,10,127,97,6,1,107,1571.276897738344,70,0,9,9,0,0,30,True,10.155853199998091
frozen_F,8206,20260912T035559698345Z-s8206-F-2b74a054,3048.529903,304.8529903,0.0,10,128,101,7,0,106,1759.4924167122979,70,0,13,8,0,0,32,True,8.383108699999866
frozen_F,8207,20260912T035600792083Z-s8207-F-d676db38,2232.433235,223.2433235,384.4350219999999,10,103,71,7,0,81,1338.0018657760436,70,0,18,18,0,0,32,True,8.752263200003654
frozen_F,8208,20260912T035601243732Z-s8208-F-629a9102,3432.648243,214.5405151875,0.0,16,115,67,6,0,83,1566.8857484323062,24,0,16,16,0,0,48,True,10.100779199994577
