variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source
frozen_E,8201,20260912T035530661496Z-s8201-E-15b3ea6c,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,16,16,1.0,3570.128431,2747.128430650571,13735.642153252855,625,125,118,48,32,0,True,,10.50449259999732,223.1330269375
frozen_E,8202,20260912T035530664571Z-s8202-E-5dab006b,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,16,16,1.0,3856.580737,3046.5807390814066,15232.903695407033,615,123,109,54,32,2,True,,9.52050920000329,241.0362960625
frozen_E,8203,20260912T035530666495Z-s8203-E-8648815b,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,16,16,1.0,2288.197478,1724.1974763287792,8620.987381643896,410,82,74,48,32,0,True,,6.856234200000472,143.012342375
frozen_E,8204,20260912T035530667599Z-s8204-E-c5fa7d30,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,16,16,1.0,2688.439928,2166.439926711541,10832.199633557704,375,75,67,48,32,0,True,,6.3342382999981055,168.0274955
frozen_E,8205,20260912T035537614106Z-s8205-E-b3f29ee5,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,10,10,1.0,3259.88705,2454.887052986614,12274.43526493307,635,127,117,33,20,1,True,,8.84066570000141,325.988705
frozen_E,8206,20260912T035537947469Z-s8206-E-0fc5ae69,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,10,10,1.0,3057.423741,2270.42373973326,11352.1186986663,620,124,117,30,20,0,True,,8.413059499995143,305.7423741
frozen_E,8207,20260912T035540936552Z-s8207-E-b2cc2d5a,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,10,10,1.0,2237.236101,1567.2361016981572,7836.180508490786,515,103,99,36,20,2,True,,6.889930299999833,223.7236101
frozen_E,8208,20260912T035541381658Z-s8208-E-a43628da,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,8b4b7c6ba1e6432f7700fd263f787cde467a394b93f0d424cf3927003b3c3caa,16,16,1.0,3435.529055,2671.5290555792762,13357.645277896381,575,115,106,51,32,1,True,,10.752163899996958,214.7205659375
frozen_F,8201,20260912T035546988320Z-s8201-F-8a107f60,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,16,16,1.0,3564.127684,2741.127682454708,13705.63841227354,625,125,118,48,32,0,True,,12.105359600005613,222.75798025
frozen_F,8202,20260912T035547438971Z-s8202-F-5b4d9d87,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,16,16,1.0,3850.652044,3040.652045108249,15203.260225541244,615,123,109,54,32,2,True,,12.788872600001923,240.66575275
frozen_F,8203,20260912T035548251470Z-s8203-F-2195cb0c,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,16,16,1.0,2060.390711,1511.3907108093247,7556.953554046623,395,79,74,48,32,0,True,,9.24525210000138,128.7744194375
frozen_F,8204,20260912T035552345432Z-s8204-F-26ca42bf,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,16,16,1.0,2684.056654,2162.056653195044,10810.28326597522,375,75,67,48,32,0,True,,8.248505900002783,167.753540875
frozen_F,8205,20260912T035558588811Z-s8205-F-54e53955,7dde4d223afd49d4bd9d5f1106bdaec63273244f76877ec919a305d395245310,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,10,10,1.0,3143.657136,2340.6571382191755,11703.285691095878,635,127,118,30,20,0,True,,10.155853199998091,314.3657136
