phase,variant,n,mean_s,median_s,p90_s,mean_s_per_source,p95_s,worst_s,all_pass,mean_move_time,mean_RF_detection_time,mean_channel_switch_time,mean_optical_time,mean_clear_time
G_round1,bend,12,3071.8629808333335,3060.134535,3404.9804672,230.6192822148945,3425.6648364000002,3440.290399,True,2378.2796478249807,526.6666666666666,98.75,41,27.166666666666668
G_round1,frozen_F,12,3081.1436638333334,3073.6936155,3410.1983756,231.40983373326117,3426.37055315,3434.77261,True,2387.2269972526437,527.0833333333334,98.91666666666667,40.75,27.166666666666668
G_round1,rotate_bend,12,3121.20551,3169.0232375,3442.2950663,233.5783586698548,3465.23147555,3487.659529,True,2423.622176621497,529.1666666666666,98.75,42.5,27.166666666666668
G_round1,rotate,12,3149.7988145833333,3170.9563555000004,3497.3152124000003,235.64073802234847,3567.79848615,3647.095653,True,2443.9654812189315,536.25,99.91666666666667,42.5,27.166666666666668
G_round2,refined_bend,20,3028.55948395,3022.502319,3318.0943023,253.2201896431916,3400.0341147999998,3448.410752,True,2299.0594835857582,562.25,105.2,37.65,24.4
G_round2,frozen_F,20,3043.80734415,3027.738029,3327.9817380000004,254.6630861600158,3445.3123605,3462.349233,True,2312.9573445500537,563.75,105.2,37.5,24.4
G_round2,bend,20,3046.08713925,3023.1674574999997,3329.775093,254.88861579236095,3463.417686,3483.718293,True,2314.537139684469,564,105.35,37.8,24.4
G_round3,frozen_F,12,3081.1436638333334,3073.6936155,3410.1983756,231.40983373326117,3426.37055315,3434.77261,True,2387.2269972526437,527.0833333333334,98.91666666666667,40.75,27.166666666666668
G_round3,refined_bend,12,3099.7118339999997,3048.005272,3420.5506786,232.27490098448322,3516.3002862499998,3627.416316,True,2401.1285016866827,531.25,98.91666666666667,41.25,27.166666666666668
G_round4,robust_bend,32,3052.52071271875,3055.8342565000003,3399.6136736,245.4644862547866,3441.75357265,3462.349233,True,2336.239463089592,549.375,102.65625,38.8125,25.4375
G_round4,robust_refined,32,3056.0833524375,3037.546975,3377.2316959,245.83390320429518,3392.34248025,3493.607681,True,2338.895852487795,550.15625,102.78125,38.8125,25.4375
G_round4,frozen_F,32,3057.80846403125,3056.5338885,3410.1983756,245.94311649998284,3439.11199285,3462.349233,True,2340.808464313525,550,102.84375,38.71875,25.4375
G_validation100,frozen_G,100,3011.71745483,3015.8896245,3242.7018469,236.37700597536022,3426.39646405,3748.968339,True,2301.417454949283,542.55,101.54,40.23,25.98
G_validation100,frozen_F,100,3016.03609722,3009.8785415,3242.7670897,236.7138120256956,3469.68546685,3748.968339,True,2305.316097358911,542.85,101.6,40.29,25.98
G_stress,frozen_G,8,3277.385427125,3250.2654285,4143.704152,246.064949028125,4238.96501,4334.225868,True,2460.7604278590275,630,116,43.125,27.5
G_stress,frozen_F,8,3281.6311343750003,3255.7522185,4143.704152,246.443806596875,4238.96501,4334.225868,True,2463.756134936854,631.25,116,43.125,27.5
