variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source
frozen_F,10201,20260912T052810418371Z-s10201-F-9a82c59e,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,16,16,1.0,4062.051988,3147.051985848681,15735.259929243404,705,141,130,48,32,0,True,,5.406237400005921,253.87824925
frozen_F,10202,20260912T052810429018Z-s10202-F-0865e89c,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,16,16,1.0,4334.225868,3336.2258716661863,16681.12935833093,775,155,140,51,32,1,True,,6.713920299996971,270.88911675
frozen_F,10203,20260912T052810441434Z-s10203-F-bd7a1e28,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,16,16,1.0,2196.356692,1529.3566905251278,7646.783452625638,495,99,92,48,32,0,True,,2.7758978999991086,137.27229325
frozen_F,10204,20260912T052810444476Z-s10204-F-4f41b6b9,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,16,16,1.0,3285.244079,2562.244080769456,12811.220403847281,540,108,103,48,32,0,True,,3.407672499997716,205.3277549375
frozen_F,10205,20260912T052813372530Z-s10205-F-5cf13fbb,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,10,10,1.0,3226.260358,2378.2603585841907,11891.301792920955,675,135,120,33,20,1,True,,6.928166900004726,322.6260358
frozen_F,10206,20260912T052814022297Z-s10206-F-65d46d8a,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,10,10,1.0,3208.862962,2397.8629627285545,11989.314813642774,640,128,121,30,20,0,True,,4.764635899999121,320.8862962
frozen_F,10207,20260912T052815985180Z-s10207-F-3dd12f68,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,10,10,1.0,2384.473629,1659.4736287940646,8297.368143970323,560,112,106,39,20,3,True,,4.253350100007083,238.4473629
frozen_F,10208,20260912T052817325058Z-s10208-F-394d829e,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,f33a4f65926491de89943fb029c6422373f1d411544b5e43f4bf0619aabe719d,16,16,1.0,3555.573499,2699.5735005785714,13497.867502892857,660,132,116,48,32,0,True,,5.541745000002265,222.2233436875
frozen_G,10201,20260912T052819022347Z-s10201-G-d14573a9,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,4062.051988,3147.051985848681,15735.259929243404,705,141,130,48,32,0,True,,6.726536800000758,253.87824925
frozen_G,10202,20260912T052820466484Z-s10202-G-7858c614,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,4334.225868,3336.2258716661863,16681.12935833093,775,155,140,51,32,1,True,,7.84804129999975,270.88911675
frozen_G,10203,20260912T052820541496Z-s10203-G-bdb70416,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2196.356692,1529.3566905251278,7646.783452625638,495,99,92,48,32,0,True,,3.3206145000003744,137.27229325
frozen_G,10204,20260912T052823098758Z-s10204-G-6401da20,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,3291.667895,2568.667897373946,12843.339486869729,540,108,103,48,32,0,True,,4.4214456000045175,205.7292434375
frozen_G,10205,20260912T052824057868Z-s10205-G-bb2ac05c,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,3202.04684,2359.0468409002183,11795.234204501092,670,134,120,33,20,1,True,,6.969550999994681,320.204684
frozen_G,10206,20260912T052825967192Z-s10206-G-eafec28c,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,3208.862962,2397.8629627285545,11989.314813642774,640,128,121,30,20,0,True,,5.1639521999968565,320.8862962
frozen_G,10207,20260912T052827746696Z-s10207-G-089d1730,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,2384.473629,1659.4736287940646,8297.368143970323,560,112,106,39,20,3,True,,4.213703800000076,238.4473629
frozen_G,10208,20260912T052828537459Z-s10208-G-aa888e62,048b1991a12acbbe15ce4bf213a01b824c16ed73a25f79a422899c3980c808c3,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,3539.397543,2688.3975450354415,13441.987725177207,655,131,116,48,32,0,True,,5.165379799997027,221.2123464375
