seed,strategy,search_RF,localization_RF,no_signal_RF,duplicate_same_point_RF,optical_failures,RF_after_clear,movement_outside_direct_clear_sequence_m,hindsight_fixed_clear_order_excess_m
2001,B,104,46,119,0,0,0,7494.409965571256,420.1155097945193
2001,D,105,34,96,0,0,0,3089.307476272401,363.5359827250122
2002,B,92,54,108,0,0,0,6848.7178033377695,766.643183987575
2002,D,86,33,79,0,0,0,1306.8765347121662,162.20335499806788
2003,B,84,60,103,0,0,0,7122.171258645123,823.5156029547779
2003,D,80,37,74,0,1,0,1606.5686599779492,170.7125513257506
2004,B,91,53,110,0,0,0,7943.853693646259,307.9258577810733
2004,D,89,27,78,0,2,0,1260.3738384183707,1627.9302915884055
2005,B,80,72,110,0,0,0,6994.282985555152,633.4829095882578
2005,D,84,37,74,0,2,0,1178.1409492958592,723.6691786394822
2006,B,81,66,101,0,0,0,7197.308150069839,1134.1961615560667
2006,D,80,35,68,0,0,0,1707.1772633136352,1323.7384911905847
2007,B,65,77,92,0,0,0,7102.4785683944665,1346.5092295667855
2007,D,70,35,60,0,0,0,996.9246505858191,2102.136151765795
2008,B,99,51,118,0,0,0,7281.144897073295,0.0
2008,D,104,24,95,0,1,0,1306.3563346242645,2541.4917739840403
2009,B,89,64,113,0,0,0,6779.862958469934,1807.2907334920328
2009,D,101,29,90,0,1,0,1857.264145070887,1549.8228331939245
2010,B,80,75,108,0,0,0,8557.744968448933,1143.5104348215118
2010,D,78,41,67,0,0,0,1971.6578456380503,519.8963234964122
2011,B,79,71,103,0,0,0,6665.104980445709,1130.64807957821
2011,D,72,35,64,0,1,0,1592.3145950818162,1585.946091738484
2012,B,68,81,104,0,0,0,7680.959457455792,1105.08042273926
2012,D,70,35,60,0,0,0,2303.101147711068,614.6579128156354
2013,B,101,45,115,0,0,0,8020.8937538042455,0.0
2013,D,103,17,94,0,0,0,3477.695257266456,1362.8615047978765
2014,B,87,58,107,0,0,0,6787.926239238375,627.347054234182
2014,D,91,34,79,0,1,0,2477.7470542867686,1062.6561295077045
2015,B,86,56,102,0,0,0,7770.023234848284,1512.5386908952605
2015,D,81,21,69,0,0,0,1607.849737279459,1503.0814140232415
2016,B,81,60,104,0,0,0,8471.801409122123,1132.5131989012207
2016,D,79,32,71,0,1,0,1752.2779376852468,1655.1296837184636
2017,B,65,86,97,0,0,0,7369.84860372824,260.86725086917795
2017,D,70,45,61,0,0,0,1466.0151770554749,2173.1554371141992
2018,B,71,82,103,0,0,0,7985.655732639965,488.89846349555955
2018,D,63,42,56,0,0,0,1718.291714632849,1097.4335442484844
2019,B,78,69,105,0,0,0,7243.520275585304,1054.5808734271104
2019,D,77,31,69,0,1,0,1543.9361970137616,1263.5616729254816
2020,B,90,52,98,0,0,0,7092.578756738556,1091.9954172633588
2020,D,84,26,75,0,0,0,2607.689879930721,186.16918820440696
