phase,variant,n,mean_s,median_s,p90_s,p95_s,worst_s,all_pass,mean_move_time,mean_RF_detection_time,mean_channel_switch_time,mean_optical_time,mean_clear_time
round1,joint1130,4,3327.13371425,3330.3765160000003,3680.5179927,3751.5409978499997,3822.564003,True,2516.633713331119,631.25,120.5,35.25,23.5
round1,joint1300,4,3497.3791295,3424.7933135000003,3869.3574098,3926.4921089,3983.626808,True,2699.629128964122,621.25,117.75,35.25,23.5
round1,compact1130,4,3634.1850652499998,3626.2585185,3781.067521,3810.0920005,3839.11648,True,2927.43506610849,543.75,104.25,35.25,23.5
round1,pruned_dynamic,4,3650.5453275,3956.1439760000003,4006.1423334,4006.1570532,4006.171773,True,2778.0453292591747,687.5,126.25,35.25,23.5
round1,C_no_extra_bearing,4,4489.7748215,4638.528426000001,4801.746983800001,4807.9936969,4814.24041,True,2939.0248214652447,1247.5,244.5,35.25,23.5
round2,early1000,4,3288.01895725,3253.1609035,3528.8215361000002,3558.91117505,3589.000814,True,2203.51895678114,861.25,164.5,35.25,23.5
round2,prune08,4,3327.13371425,3330.3765160000003,3680.5179927,3751.5409978499997,3822.564003,True,2516.633713331119,631.25,120.5,35.25,23.5
round2,early250,4,3345.04868375,3228.9122435,3759.432261,3867.4675709999997,3975.502881,True,2370.5486838307247,767.5,148.25,35.25,23.5
round2,radius1150,4,3391.84780925,3356.997252,3820.7703036000003,3888.4439927999997,3956.117682,True,2444.84780956671,742.5,144.25,36.75,23.5
round2,optical60,4,3401.4835165,3360.9949825000003,3837.6200595,3906.5614702499997,3975.502881,True,2442.4835158183737,752.5,146.25,36.75,23.5
round2,optical40,4,3428.8249782499997,3411.6180585,3869.05575,3922.2793155,3975.502881,True,2466.824977964833,756.25,147,35.25,23.5
round2,defer60,4,3434.44517075,3422.8584435000002,3875.799981,3925.651431,3975.502881,True,2488.945170398329,742.5,144.25,35.25,23.5
round2,prune03,4,3452.85865275,3421.94874,3896.9272496,3956.1232793,4015.319309,True,2467.6086522515593,776.25,150.25,35.25,23.5
round2,radius1200,4,3487.7010685,3415.0338469999997,3925.2779169,3995.7118969499998,4066.145877,True,2525.451068521066,755,146.25,37.5,23.5
round2,no_known_rf,4,4030.43844425,4110.451106500001,4211.2180960999995,4226.28650105,4241.354906,True,3373.688445027864,510,88,35.25,23.5
round3,early08,4,3073.86405925,3040.5759239999998,3197.2316737,3224.06097535,3250.890277,True,2234.6140594971043,655,125.5,35.25,23.5
round3,adaptive1000,4,3190.6036677499997,3222.3609985,3619.9485512,3667.6866356,3715.42472,True,2239.353667976878,750,141.75,36,23.5
round3,adaptive03,4,3231.6635645,3309.0316985,3544.9606569,3546.55700745,3548.153358,True,2193.413563587178,823.75,155.75,35.25,23.5
round3,adaptive_without_future,4,3255.478254,3412.260682,3514.1934675,3527.12716125,3540.060855,True,2288.728256100922,763.75,142.75,36.75,23.5
round3,joint_optical,4,3311.3248825,3334.5566900000003,3656.7608551000003,3722.69304505,3788.625235,True,2524.074882382891,612.5,116,35.25,23.5
round3,adaptive120,4,3507.3646049999998,3478.5713539999997,3731.7444694,3759.2608342,3786.777199,True,2532.1146051830283,768.75,146.25,36.75,23.5
round4,q2_time,8,3142.19077825,3115.581717,3295.5959312,3374.3587110999997,3453.121491,True,2311.440777776336,646.25,116.875,40.875,26.75
round4,exact_K,8,3258.54317775,3152.729359,3483.0919802999997,3532.61359265,3582.135205,True,2442.793177955019,630,117.375,41.625,26.75
round4,early08,8,3264.6731105,3152.4919945,3473.0185521999997,3523.2813816,3573.544211,True,2450.798110674233,628.125,117,42,26.75
round4,adaptive1000,8,3634.834522,3612.7723345,3850.0634479,3870.87371045,3891.683973,True,2727.9595220124775,707.5,132.125,40.5,26.75
round4,baseline_B,8,4333.62596125,4364.0560435,4528.0888666,4571.2485538,4614.408241,True,3392.0009615187832,735.625,139.125,40.125,26.75
round5,q2_gain18,8,3102.65180325,3052.606866,3361.8850377999997,3385.4443064,3409.003575,True,2352.651802565506,579.375,102.625,41.25,26.75
round5,q2_gain12,8,3111.263747,3101.3039035,3257.0959312,3355.1087110999997,3453.121491,True,2326.388746445361,608.75,108.5,40.875,26.75
round5,q2_less_bearing,8,3127.207725875,3114.3420105,3269.0077825999997,3343.6462702999997,3418.284758,True,2313.457725229149,631.875,114.25,40.875,26.75
round5,q2_trial25,8,3149.4933765,3118.9927005,3303.7958971000003,3381.90140955,3460.006922,True,2311.2433761739003,654.375,117,40.125,26.75
round5,q2_no_trial,8,3168.41568625,3149.402882,3303.5625283,3381.39577715,3459.229026,True,2318.915685991194,664.375,118.25,40.125,26.75
round5,q2_trial60,8,3197.389964625,3139.940665,3459.4103817,3476.94869935,3494.487017,True,2365.139964310261,646.875,117,41.625,26.75
round5,q2_radius1200,8,3215.5203500000002,3189.4384865,3380.8007647,3384.28814335,3387.775522,True,2376.02035022978,653.75,117.75,41.25,26.75
round5,q2_defer400,8,3375.771152625,3315.9154255000003,3609.3018216,3634.1544648,3659.007108,True,2589.271152598782,603.75,113.625,42.375,26.75
round6,refine_bearing,8,3082.6818275,3037.4899320000004,3322.2033402,3348.1850911,3374.166842,True,2350.181827136626,565,99.875,40.875,26.75
round6,refine_trial45,8,3099.477299625,3047.9580349999997,3359.2618519,3379.76073695,3400.259622,True,2351.7272989102325,576.875,102.5,41.625,26.75
round6,refine_gain22,8,3102.65180325,3052.606866,3361.8850377999997,3385.4443064,3409.003575,True,2352.651802565506,579.375,102.625,41.25,26.75
round6,refine_gain30,8,3102.65180325,3052.606866,3361.8850377999997,3385.4443064,3409.003575,True,2352.651802565506,579.375,102.625,41.25,26.75
round6,refine_prune,8,3102.65180325,3052.606866,3361.8850377999997,3385.4443064,3409.003575,True,2352.651802565506,579.375,102.625,41.25,26.75
round6,refine_trial35,8,3105.464568125,3052.606866,3372.3559892,3390.6797821,3409.003575,True,2353.5895674682893,581.25,102.625,41.25,26.75
round6,refine_gain14,8,3105.7490075,3101.3039035,3243.8605564,3326.4320657,3409.003575,True,2326.624006960535,603.75,107.75,40.875,26.75
round6,refine_radius1140,8,3194.4063447500002,3166.3597950000003,3453.797169,3511.9424975,3570.087826,True,2426.531344939524,595.625,105,40.5,26.75
