seed,split,count,baseline_B_time,farthest_source_m,farthest_and_service_lower_bound,oracle_lower_bound_s,completed_local_run
101,train,16,4222.454847,1762.5123803488864,428.5024760697773,1649.1442167979928,20260911T105611610362Z-s101-B
102,train,10,4000.040492,1730.4629393507419,392.09258787014835,1592.8318487482065,20260911T105617392813Z-s102-B
103,train,11,4232.57797,1580.788537767875,367.157707553575,1629.7408794105527,20260911T105623043603Z-s103-B
104,train,10,4170.356483,1667.6742605662268,379.5348521132454,1416.530424064153,20260911T105628006400Z-s104-B
501,validation,12,3729.081416,1635.9010350058174,383.18020700116347,1150.8282022057986,20260911T105633010471Z-s501-B
502,validation,11,4352.287782,1750.0155950121655,401.0031190024331,1704.5160678017714,20260911T105640641755Z-s502-B
503,validation,16,4681.942051,1799.7866015176642,435.9573203035328,1873.3369485912172,20260911T105646513450Z-s503-B
504,validation,15,4727.010821,1758.0511274448381,422.6102254889676,2196.5648374075763,20260911T105653370324Z-s504-B
901,stress,14,5062.30633,1791.019470477999,424.2038940955998,2089.986257049211,20260911T105659500256Z-s901-B
902,stress,14,5278.475206,1799.0363292946702,425.80726585893404,2076.6321448910517,20260911T105707057535Z-s902-B
903,stress,16,3786.200063,1234.7616305242186,322.95232610484373,987.836484072491,20260911T105713818147Z-s903-B
904,stress,11,4034.323749,1744.3199104235891,399.8639820847178,1461.2046070123445,20260911T105721709133Z-s904-B
