variant,seed,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_time,RF_detection_count,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s
frozen_D,301,20260911T134809873740Z-s301-D,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,12,12,1.0,2957.036614,2215.0366116332852,11075.183058166427,575,115,104,39,24,1,True,,1.7261908000000403
frozen_D,302,20260911T134811792518Z-s302-D,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,10,10,1.0,3088.547736,2275.5477372976547,11377.738686488274,650,130,113,30,20,0,True,,2.0909225999998853
frozen_D,303,20260911T134814070559Z-s303-D,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,16,16,1.0,3009.939952,2288.939952574663,11444.699762873315,545,109,96,48,32,0,True,,1.7356566999997085
frozen_D,304,20260911T134815978816Z-s304-D,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,15,15,1.0,2976.721297,2288.721295690514,11443.606478452572,515,103,95,48,30,1,True,,1.7525736000002325
frozen_D,305,20260911T134817894540Z-s305-D,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,11,11,1.0,3065.039912,2257.039913016116,11285.199565080578,645,129,108,33,22,0,True,,2.1207337999999254
frozen_D,306,20260911T134820181318Z-s306-D,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,15,15,1.0,2890.068999,2162.0689992544903,10810.344996272452,555,111,98,45,30,0,True,,1.9456049000000348
frozen_D,307,20260911T134822333070Z-s307-D,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,15,15,1.0,3299.933268,2640.9332653282268,13204.666326641134,495,99,89,45,30,0,True,,1.7623662999999397
frozen_D,308,20260911T134824273688Z-s308-D,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,6c7bd09d02a9f2438eb19f5e29c1cf9020529853f5bf5ea80b2f5f3696786465,13,13,1.0,3374.166842,2673.166842298059,13365.834211490293,540,108,96,39,26,0,True,,1.965371199999936
replan_one,301,20260911T134826436895Z-s301-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,2def557d335d5bd639a13c55a44df1f0cd441888b6bc86db7d489f80eeb2d7fb,12,12,1.0,2943.406276,2216.406273970266,11082.03136985133,560,112,104,39,24,1,True,,1.9101132999999209
replan_one,302,20260911T134828539934Z-s302-E,42bd3de75731333bc00dd0f308fe3201bd8c2fb70f418c99a68afd11428892eb,2def557d335d5bd639a13c55a44df1f0cd441888b6bc86db7d489f80eeb2d7fb,10,10,1.0,3064.866402,2293.866403389999,11469.332016949995,605,121,116,30,20,0,True,,1.68391500000007
