split,strategy,runs,all_100_percent,mean_total_time,median,p90,p95,worst,mean_move_time,mean_RF_detection_time,mean_channel_switch_time,mean_optical_time,mean_clear_time
train,A,4,True,4321.0625469999995,4327.3632855,4394.8284801,4409.03942355,4423.250367,3422.812547234117,706.25,133.25,35.25,23.5
train,B,4,True,4156.357448,4196.405665,4229.5410331,4231.05950155,4232.57797,3271.357447333228,695,131.25,35.25,23.5
train,C,4,True,3939.17612475,3837.1720244999997,4452.2403932,4549.0797611,4645.919129,2669.676125047154,1015,195.75,35.25,23.5
validation,A,4,True,4648.50520325,4708.790222,5072.4394317999995,5086.7958859,5101.15234,3683.255202783796,756.25,141.5,40.5,27
validation,B,4,True,4372.5805175000005,4517.114916500001,4713.4901899999995,4720.2505055,4727.010821,3425.3305189529638,740,139.75,40.5,27
validation,C,4,True,4521.54020975,4525.243006000001,4587.3834558,4594.1598414,4600.936227,3145.290210259398,1095,213.75,40.5,27
stress,A,4,True,4598.25037575,4651.123286,5194.9632306,5215.9381818,5236.913133,3582.250374852364,801.25,146,41.25,27.5
stress,B,4,True,4540.326337,4548.3150395,5213.6245432000005,5246.0498746,5278.475206,3531.0763375656834,795,145.5,41.25,27.5
stress,C,4,True,4682.60554575,5292.062915,5459.2372448999995,5480.3473819499995,5501.457519,2942.855545335869,1400,271,41.25,27.5
all,A,12,True,4522.606042,4370.3242709999995,5100.7451185,5162.24469685,5236.913133,3562.7727082900924,754.5833333333334,140.25,39,26
all,B,12,True,4356.421434166667,4227.5164085,5028.776779100001,5159.5823242,5278.475206,3409.254767950625,743.3333333333334,138.83333333333334,39,26
all,C,12,True,4381.107293416667,4525.243006000001,5346.9912006,5424.053683149999,5501.457519,2919.2739602141405,1170,226.83333333333334,39,26
