seed,split,strategy,scenario,reception,error_mode,run_id,clear_count,jammer_count,clear_ratio,total_time,move_time,RF_detection_time,channel_switch_time,optical_time,clear_time,RF_detection_count,completion_proved,client_error
101,train,A,uniform,mixed,fixed_hash,20260911T105610384359Z-s101-A,16,16,1.0,4326.215827,3427.215826834944,690,129,48,32,138,True,
101,train,B,uniform,mixed,fixed_hash,20260911T105611610362Z-s101-B,16,16,1.0,4222.454847,3346.4548451353885,670,126,48,32,134,True,
101,train,C,uniform,mixed,fixed_hash,20260911T105614318819Z-s101-C,16,16,1.0,3436.441321,2418.441322440757,790,148,48,32,158,True,
102,train,A,uniform,mixed,fixed_hash,20260911T105616074704Z-s102-A,10,10,1.0,4328.510744,3452.510746089013,695,131,30,20,139,True,
102,train,B,uniform,mixed,fixed_hash,20260911T105617392813Z-s102-B,10,10,1.0,4000.040492,3148.040492440672,675,127,30,20,135,True,
102,train,C,uniform,mixed,fixed_hash,20260911T105618705509Z-s102-C,10,10,1.0,4645.919129,3246.919128327759,1130,219,30,20,226,True,
103,train,A,uniform,mixed,fixed_hash,20260911T105621744643Z-s103-A,11,11,1.0,4423.250367,3523.25036656698,710,135,33,22,142,True,
103,train,B,uniform,mixed,fixed_hash,20260911T105623043603Z-s103-B,11,11,1.0,4232.57797,3332.577969678252,710,135,33,22,142,True,
103,train,C,uniform,mixed,fixed_hash,20260911T105624390994Z-s103-C,11,11,1.0,4000.323343,2661.3233423863976,1075,209,33,22,215,True,
104,train,A,uniform,mixed,fixed_hash,20260911T105626645031Z-s104-A,10,10,1.0,4206.27325,3288.2732494455313,730,138,30,20,146,True,
104,train,B,uniform,mixed,fixed_hash,20260911T105628006400Z-s104-B,10,10,1.0,4170.356483,3258.3564820785987,725,137,30,20,145,True,
104,train,C,uniform,mixed,fixed_hash,20260911T105629301933Z-s104-C,10,10,1.0,3674.020706,2352.020707033703,1065,207,30,20,213,True,
501,validation,A,uniform,mixed,fixed_hash,20260911T105631656078Z-s501-A,12,12,1.0,4075.288029,3141.2880281097173,735,139,36,24,147,True,
501,validation,B,uniform,mixed,fixed_hash,20260911T105633010471Z-s501-B,12,12,1.0,3729.081416,2824.0814173543176,710,135,36,24,142,True,
501,validation,C,uniform,mixed,fixed_hash,20260911T105634383040Z-s501-C,12,12,1.0,4555.760323,3317.7603229852234,990,188,36,24,198,True,
502,validation,A,uniform,mixed,fixed_hash,20260911T105639313722Z-s502-A,11,11,1.0,4412.137798,3475.137797251597,745,137,33,22,149,True,
502,validation,B,uniform,mixed,fixed_hash,20260911T105640641755Z-s502-B,11,11,1.0,4352.287782,3436.2877837950773,725,136,33,22,145,True,
502,validation,C,uniform,mixed,fixed_hash,20260911T105641914718Z-s502-C,11,11,1.0,4434.7386,2738.738600637576,1370,271,33,22,274,True,
503,validation,A,uniform,mixed,fixed_hash,20260911T105645044445Z-s503-A,16,16,1.0,5005.442646,4017.4426451401027,765,143,48,32,153,True,
503,validation,B,uniform,mixed,fixed_hash,20260911T105646513450Z-s503-B,16,16,1.0,4681.942051,3698.942052773443,760,143,48,32,152,True,
503,validation,C,uniform,mixed,fixed_hash,20260911T105649980496Z-s503-C,16,16,1.0,4494.725689,3325.725689256304,910,179,48,32,182,True,
504,validation,A,uniform,mixed,fixed_hash,20260911T105651863150Z-s504-A,15,15,1.0,5101.15234,4099.1523406337665,780,147,45,30,156,True,
504,validation,B,uniform,mixed,fixed_hash,20260911T105653370324Z-s504-B,15,15,1.0,4727.010821,3742.0108218890173,765,145,45,30,153,True,
504,validation,C,uniform,mixed,fixed_hash,20260911T105655747628Z-s504-C,15,15,1.0,4600.936227,3198.936228158488,1110,217,45,30,222,True,
901,stress,A,boundary,minimum,plus_one,20260911T105657964551Z-s901-A,14,14,1.0,5097.080125,4055.080123957918,825,147,42,28,165,True,
901,stress,B,boundary,minimum,plus_one,20260911T105659500256Z-s901-B,14,14,1.0,5062.30633,4020.3063295978814,825,147,42,28,165,True,
901,stress,C,boundary,minimum,plus_one,20260911T105701447694Z-s901-C,14,14,1.0,5223.402558,3265.402557578028,1585,303,42,28,317,True,
902,stress,A,boundary,minimum,minus_one,20260911T105705451256Z-s902-A,14,14,1.0,5236.913133,4184.9131334002695,835,147,42,28,167,True,
902,stress,B,boundary,minimum,minus_one,20260911T105707057535Z-s902-B,14,14,1.0,5278.475206,4241.475205693682,820,147,42,28,164,True,
902,stress,C,boundary,minimum,minus_one,20260911T105708622634Z-s902-C,14,14,1.0,5360.723272,3157.7232718058212,1785,348,42,28,357,True,
903,stress,A,clustered,minimum,smooth,20260911T105712732515Z-s903-A,16,16,1.0,3853.841798,2846.8417966803036,780,147,48,32,156,True,
903,stress,B,clustered,minimum,smooth,20260911T105713818147Z-s903-B,16,16,1.0,3786.200063,2785.20006530119,775,146,48,32,155,True,
903,stress,C,clustered,minimum,smooth,20260911T105717605656Z-s903-C,16,16,1.0,2644.838834,1502.8388342113444,890,172,48,32,178,True,
904,stress,A,uniform,minimum,smooth,20260911T105720268040Z-s904-A,11,11,1.0,4205.166447,3242.1664453709645,765,143,33,22,153,True,
904,stress,B,uniform,minimum,smooth,20260911T105721709133Z-s904-B,11,11,1.0,4034.323749,3077.323749669979,760,142,33,22,152,True,
904,stress,C,uniform,minimum,smooth,20260911T105723149246Z-s904-C,11,11,1.0,5501.457519,3845.457517748283,1340,261,33,22,268,True,
