seed,variant,run_id,all_success,clear_count,engine_source_count,total_time,mean_time_per_source,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s,client_error
430001,compact,20260912T111004446149Z-b1a6ef34,True,16,16,5916.068158,369.754259875,224,1,0,7.042229600003338,
430002,compact,20260912T111004438727Z-d3f8201f,True,10,10,7176.11745,717.6117449999999,331,2,0,6.974121899998863,
430003,compact,20260912T111004438727Z-837c59ed,True,16,16,4338.583745,271.1614840625,145,3,0,4.8371456999884686,
430004,compact,20260912T111004447674Z-088fa1fa,True,10,10,5825.163257,582.5163257,283,2,0,6.366555000000517,
430005,compact,20260912T111014287334Z-eab149fe,True,16,16,4822.109772,301.38186075,220,1,0,5.575322900011088,
430006,compact,20260912T111013606205Z-9703869e,True,10,10,6620.885956,662.0885956,335,3,0,5.690695999990567,
430007,compact,20260912T111011122687Z-0b5158ba,True,10,10,5956.036055,595.6036055,302,4,0,5.12321069999598,
430008,compact,20260912T111012863472Z-795f848d,True,16,16,4709.552654,294.347040875,88,4,0,5.362380000005942,
430009,compact,20260912T111022164425Z-893e9e15,True,16,16,8538.527424,533.657964,389,15,0,7.7352726999961305,
430010,compact,20260912T111021026372Z-669bdf96,True,10,10,5851.415161,585.1415161,261,8,0,5.8133560000133,
430011,compact,20260912T111018355659Z-ce89dc64,True,16,16,6576.345763,411.0216101875,242,7,0,5.31420559999242,
430012,compact,20260912T111021487555Z-c4c40d37,True,10,10,6018.023124,601.8023124,277,1,0,5.814208199997665,
430013,compact,20260912T111032813185Z-0952fd8f,True,10,10,6670.857143,667.0857143000001,344,0,0,4.485345499997493,
430014,compact,20260912T111029132136Z-884c3c79,True,10,10,7253.91506,725.391506,356,6,0,5.205166600004304,
