seed,variant,run_id,all_success,clear_count,engine_source_count,total_time,mean_time_per_source,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s,client_error
430001,E_combo,20260912T093624070880Z-536f36ca,True,16,16,5994.803148,374.67519675,226,0,0,7.428199400004814,
430001,H0,20260912T093624057592Z-84fedc96,True,16,16,7414.93551,463.433469375,250,0,0,5.9173636000050465,
430002,E_combo,20260912T093624093219Z-d0d03636,True,10,10,7181.929387,718.1929387,331,0,0,7.493279200003599,
430002,H0,20260912T093624082040Z-cca276b8,True,10,10,8504.832867,850.4832866999999,332,0,0,6.539234800002305,
430003,E_combo,20260912T093633784812Z-88cbbe9b,True,16,16,4394.980455,274.6862784375,146,0,0,4.809394099997007,
430003,H0,20260912T093630632631Z-2800f64a,True,16,16,7167.143938,447.946496125,203,0,0,3.823492499999702,
430004,E_combo,20260912T093633370268Z-2023a777,True,10,10,5886.430493,588.6430493,283,0,0,6.4382182999979705,
430004,H0,20260912T093631447046Z-0863f576,True,10,10,7416.918974,741.6918974,278,0,0,4.6903737999964505,
430005,E_combo,20260912T093639995011Z-7a6acbe1,True,16,16,4867.547885,304.2217428125,220,0,0,6.596054199995706,
430005,H0,20260912T093635087421Z-0de81e14,True,16,16,5499.441557,343.7150973125,222,0,0,4.76431899999443,
430006,E_combo,20260912T093641463176Z-2a668d4a,True,10,10,6623.56772,662.356772,335,0,0,6.761192899997695,
430006,H0,20260912T093636996293Z-3e1841f9,True,10,10,8685.8702,868.5870199999999,358,0,0,6.212304599990603,
430007,E_combo,20260912T093648398223Z-dfb3f332,True,10,10,5989.335563,598.9335563,302,0,0,6.46355179999955,
430007,H0,20260912T093640394071Z-736300c9,True,10,10,6842.309374,684.2309374,303,0,0,5.684288599994034,
430008,E_combo,20260912T093649634255Z-6b704819,True,16,16,4819.249921,301.2031200625,88,0,0,5.9030894000025,
430008,H0,20260912T093643957151Z-3368ffca,True,16,16,6160.049291,385.0030806875,153,0,0,4.000221499998588,
430009,E_combo,20260912T093656617186Z-f861456e,True,16,16,8668.147823,541.7592389375,396,0,0,9.381316200000583,
430009,H0,20260912T093646804427Z-b127f82f,True,16,16,11022.442183,688.9026364375,377,0,0,6.704530899995007,
430010,E_combo,20260912T093658350337Z-4e420ea7,True,10,10,5952.604818,595.2604818,265,0,0,7.002332000003662,
430010,H0,20260912T093648522676Z-964999fc,True,10,10,7590.922633,759.0922633,264,0,0,5.221376300003612,
430011,E_combo,20260912T093708235331Z-ea32b145,True,16,16,6661.727211,416.3579506875,247,0,0,5.1971890999993775,
430011,H0,20260912T093654190431Z-f08d20b3,True,16,16,8594.661403,537.1663376875,266,0,0,4.722445100007462,
430012,E_combo,20260912T093707277382Z-e0a85734,True,10,10,6239.665809,623.9665809,284,0,0,4.839139600007911,
430012,H0,20260912T093654507310Z-4f25ef56,True,10,10,8112.151531,811.2151531000001,290,0,0,4.9152976000041235,
430013,E_combo,20260912T093715598638Z-9f86f9e4,True,10,10,6717.264043,671.7264043,344,0,0,4.859093200007919,
430013,H0,20260912T093659495021Z-1f9c3cd3,True,10,10,7733.241175,773.3241175,341,0,0,6.312272399998619,
430014,E_combo,20260912T093714014729Z-3d4bb534,True,10,10,7395.929167,739.5929167,364,0,0,5.69431840001198,
430014,H0,20260912T093700187706Z-2ff77959,True,10,10,9126.977833,912.6977833000001,375,0,0,6.524303300000611,
