seed,variant,run_id,all_success,clear_count,engine_source_count,total_time,mean_time_per_source,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s,client_error
430001,D8,20260912T090338330682Z-ed302bd5,True,16,16,6960.063215,435.0039509375,229,0,0,6.740478500010795,
430001,H0,20260912T090338319278Z-7a706314,True,16,16,7414.93551,463.433469375,250,0,0,7.335196899992297,
430002,D8,20260912T090338355713Z-4df5f8ca,True,10,10,7750.954172,775.0954171999999,331,0,0,7.978828200008138,
430002,H0,20260912T090338337811Z-13f934a9,True,10,10,8504.832867,850.4832866999999,332,0,0,7.973745600000257,
430003,D8,20260912T090346266368Z-ab198800,True,16,16,7101.124984,443.8203115,204,0,0,5.527128400004585,
430003,H0,20260912T090347128191Z-aa713eb1,True,16,16,7167.143938,447.946496125,203,0,0,5.577106199998525,
430004,D8,20260912T090348044793Z-5b8e7b0f,True,10,10,6857.371047,685.7371046999999,278,0,0,6.860340300001553,
430004,H0,20260912T090348001903Z-c44a5b97,True,10,10,7416.918974,741.6918974,278,0,0,6.748325300010038,
430005,D8,20260912T090352571354Z-1d42ebde,True,16,16,5499.441557,343.7150973125,222,0,0,6.1344890000036685,
430005,H0,20260912T090353437393Z-45248aac,True,16,16,5499.441557,343.7150973125,222,0,0,6.127247800002806,
430006,D8,20260912T090356140214Z-eb16a8fd,True,10,10,8158.860097,815.8860096999999,356,0,0,8.275140400000964,
430006,H0,20260912T090355929111Z-94863f29,True,10,10,8685.8702,868.5870199999999,358,0,0,8.337433399996371,
430007,D8,20260912T090359668867Z-90909063,True,10,10,6325.334907,632.5334907,303,0,0,6.878423299989663,
430007,H0,20260912T090400719983Z-8d63c4d9,True,10,10,6842.309374,684.2309374,303,0,0,6.619350900000427,
430008,D8,20260912T090406190033Z-857d185e,True,16,16,6063.938232,378.9961395,116,0,0,4.556679699991946,
430008,H0,20260912T090406041642Z-42308a64,True,16,16,6160.049291,385.0030806875,153,0,0,5.266761000006227,
430009,D8,20260912T090408057879Z-547f86af,True,16,16,10068.38134,629.27383375,413,0,0,9.175497200005339,
430009,H0,20260912T090409000845Z-ccc820c1,True,16,16,11022.442183,688.9026364375,377,0,0,9.348280599995633,
430010,D8,20260912T090411912250Z-678818d4,True,10,10,6467.464375,646.7464375,266,0,0,6.482275499991374,
430010,H0,20260912T090412461531Z-1e12bfaf,True,10,10,7590.922633,759.0922633,264,0,0,6.690369399992051,
430011,D8,20260912T090418397486Z-034b3455,True,16,16,8240.268109,515.0167568125,265,0,0,6.676478800000041,
430011,H0,20260912T090419640389Z-f1cdc4ca,True,16,16,8594.661403,537.1663376875,266,0,0,7.349550200000522,
430012,D8,20260912T090419926340Z-20a27f42,True,10,10,6755.743104,675.5743104000001,277,0,0,6.688301600006525,
430012,H0,20260912T090420628855Z-bc2c405c,True,10,10,8112.151531,811.2151531000001,290,0,0,7.117333300004248,
430013,D8,20260912T090426095985Z-f7e7ad38,True,10,10,7175.838562,717.5838562,342,0,0,6.730312200001208,
430013,H0,20260912T090428097142Z-a1db8a22,True,10,10,7733.241175,773.3241175,341,0,0,6.762357800005702,
430014,D8,20260912T090428080709Z-010249d5,True,10,10,8080.832942,808.0832942,377,0,0,7.5814466000010725,
430014,H0,20260912T090429130615Z-c94eec1e,True,10,10,9126.977833,912.6977833000001,375,0,0,7.632437400010531,
