seed,variant,run_id,all_success,engine_source_count,total_time,mean_time_per_source,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s
1001,narrow,20260912T124132714264Z-b974b008,True,10,6186.268137,618.6268137,313,4,0,9.388960700001917
1002,narrow,20260912T124158726525Z-3ed60fc4,True,16,5257.152156,328.57200975,141,3,0,10.136406200006604
1003,narrow,20260912T124230508730Z-3ff534d0,True,10,8129.181878,812.9181878,456,3,0,11.084349400000065
1004,narrow,20260912T124259548055Z-3d11895e,True,16,5216.37881,326.023675625,110,5,0,10.953247900004499
1005,narrow,20260912T124329716189Z-0e6880dc,True,14,5867.238578,419.0884698571429,180,0,0,11.04537409999466
1006,narrow,20260912T124400605677Z-b2425d3b,True,10,6226.689664,622.6689664,283,5,0,9.642238000000361
1007,narrow,20260912T124425897134Z-dd581460,True,16,4025.254702,251.578418875,66,8,0,11.065179900004296
1008,narrow,20260912T124459587576Z-56f0f6fe,True,14,6889.495188,492.10679914285714,281,4,0,10.98658169999544
1009,narrow,20260912T124527142072Z-0d3e26dc,True,10,6368.048528,636.8048528,286,4,0,7.116632299992489
1010,narrow,20260912T124550210090Z-cb62ce16,True,16,4033.278194,252.079887125,99,4,0,13.382268500005011
1001,reuse,20260912T125246298616Z-23fac1ff,True,10,6186.268137,618.6268137,313,4,0,5.772237499986659
1002,reuse,20260912T125254726402Z-3953c191,True,16,5257.152156,328.57200975,141,3,0,4.570200400004978
1003,reuse,20260912T125302347051Z-ac537d10,True,10,8119.723194,811.9723194000001,457,3,0,7.18106610000541
1004,reuse,20260912T125312234099Z-55614c02,True,16,5148.701405,321.7938378125,110,2,0,4.481220800007577
1005,reuse,20260912T125319515060Z-5771c555,True,14,5927.329941,423.38071007142855,179,2,0,4.876207100009196
1006,reuse,20260912T125327325574Z-78c8d8a7,True,10,6226.689664,622.6689664,283,5,0,4.506367299996782
1007,reuse,20260912T125333877456Z-35d860b5,True,16,4025.254702,251.578418875,66,8,0,3.957391699994332
1008,reuse,20260912T125340924836Z-b1079702,True,14,6889.495188,492.10679914285714,281,4,0,5.283248799998546
1009,reuse,20260912T125348679577Z-369277f4,True,10,6368.048528,636.8048528,286,4,0,4.824100700003328
1010,reuse,20260912T125355531266Z-4ccba32a,True,16,4037.930298,252.370643625,98,3,0,4.878347200006829
