seed,variant,run_id,all_success,engine_source_count,total_time,mean_time_per_source,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s
1001,compact,20260912T124121633321Z-8e5f9f0a,True,10,6186.268137,618.6268137,313,4,0,7.387596800006577
1001,narrow,20260912T124132714264Z-b974b008,True,10,6186.268137,618.6268137,313,4,0,9.388960700001917
1002,compact,20260912T124150471379Z-f64c5270,True,16,5292.271762,330.766985125,141,3,0,4.482206000000588
1002,narrow,20260912T124158726525Z-3ed60fc4,True,16,5257.152156,328.57200975,141,3,0,10.136406200006604
1003,compact,20260912T124219108573Z-83e9c3cf,True,10,8297.909388,829.7909388,455,1,0,7.670503200002713
1003,narrow,20260912T124230508730Z-3ff534d0,True,10,8129.181878,812.9181878,456,3,0,11.084349400000065
1004,compact,20260912T124249290611Z-3f9dd06f,True,16,5216.37881,326.023675625,110,5,0,6.094534000003478
1004,narrow,20260912T124259548055Z-3d11895e,True,16,5216.37881,326.023675625,110,5,0,10.953247900004499
1005,compact,20260912T124320270982Z-a26f7868,True,14,5960.062904,425.71877885714287,180,0,0,5.330262599993148
1005,narrow,20260912T124329716189Z-0e6880dc,True,14,5867.238578,419.0884698571429,180,0,0,11.04537409999466
1006,compact,20260912T124350119186Z-798a5b68,True,10,6226.689664,622.6689664,283,5,0,7.227123200005735
1006,narrow,20260912T124400605677Z-b2425d3b,True,10,6226.689664,622.6689664,283,5,0,9.642238000000361
1007,compact,20260912T124417159689Z-0f339c43,True,16,4037.87703,252.367314375,66,8,0,4.676178599998821
1007,narrow,20260912T124425897134Z-dd581460,True,16,4025.254702,251.578418875,66,8,0,11.065179900004296
1008,compact,20260912T124447872493Z-460a9bc5,True,14,6919.65464,494.2610457142857,281,4,0,8.044445499996073
1008,narrow,20260912T124459587576Z-56f0f6fe,True,14,6889.495188,492.10679914285714,281,4,0,10.98658169999544
1009,compact,20260912T124518844301Z-61ba445b,True,10,6368.048528,636.8048528,286,4,0,5.113562099999399
1009,narrow,20260912T124527142072Z-0d3e26dc,True,10,6368.048528,636.8048528,286,4,0,7.116632299992489
1010,compact,20260912T124540973201Z-0ff2c0e9,True,16,4036.823726,252.301482875,97,5,0,4.789315100002568
1010,narrow,20260912T124550210090Z-cb62ce16,True,16,4033.278194,252.079887125,99,4,0,13.382268500005011
