seed,variant,run_id,all_success,engine_source_count,total_time,mean_time_per_source,policy_wall_time_s
1201,D_COMPACT,20260912T124200534308Z-cd272286,True,12,5930.224151,494.1853459166667,5.907209700002568
1201,R2_C,20260912T124210618958Z-e54abc4d,True,12,5930.224151,494.1853459166667,6.134122100003879
1202,D_COMPACT,20260912T124221766947Z-62ccbbfe,True,15,5819.537628,387.9691752,5.308510299990303
1202,R2_C,20260912T124230825611Z-9707090f,True,15,5819.537628,387.9691752,5.635861600007047
1203,D_COMPACT,20260912T124240542662Z-a5aa95c2,True,15,5992.96694,399.53112933333335,4.493294400002924
1203,R2_C,20260912T124249523000Z-b90df34b,True,15,5992.96694,399.53112933333335,8.350049499989836
1204,D_COMPACT,20260912T124302996235Z-843fdb86,True,15,6478.036045,431.86906966666663,4.870496500006993
1204,R2_C,20260912T124311739158Z-541aa548,True,15,6478.036045,431.86906966666663,6.832980299994233
1205,D_COMPACT,20260912T124323225937Z-23b7ed47,True,15,5724.673759,381.6449172666667,5.493638200001442
1205,R2_C,20260912T124332290553Z-90d8d445,True,15,5724.673759,381.6449172666667,5.72391850000713
1206,D_COMPACT,20260912T124342460516Z-d87cd694,True,14,5941.357061,424.38264721428567,5.599510300002294
1206,R2_C,20260912T124351662035Z-b84286bb,True,14,5941.357061,424.38264721428567,7.324087899993174
1207,D_COMPACT,20260912T124403308786Z-31db2bce,True,16,3802.621525,237.6638453125,4.810364499993739
1207,R2_C,20260912T124411969175Z-0c4f138c,True,16,3802.621525,237.6638453125,3.8421783999947365
1208,D_COMPACT,20260912T124419877584Z-58fc48a1,True,13,5671.406198,436.2620152307692,5.612257900007535
1208,R2_C,20260912T124428912622Z-8fa55b9d,True,13,5671.406198,436.2620152307692,5.979948599997442
1209,D_COMPACT,20260912T124438494118Z-91a742d6,True,12,5932.096721,494.3413934166667,6.273451000000932
1209,R2_C,20260912T124447940097Z-a616590b,True,12,5932.096721,494.3413934166667,7.346544100000756
1210,D_COMPACT,20260912T124458920669Z-a7698d38,True,15,6076.752226,405.1168150666666,6.733058099998743
1210,R2_C,20260912T124510385755Z-97717e18,True,15,6076.752226,405.1168150666666,7.954185599999619
