seed,variant,run_id,all_success,engine_source_count,total_time,mean_time_per_source,policy_wall_time_s
1201,D_COMPACT,20260912T124632834736Z-610defb2,True,12,5930.224151,494.1853459166667,5.0613308000029065
1201,R2_C,20260912T124642058236Z-0c0cdac0,True,12,5930.224151,494.1853459166667,5.978073699996457
1202,D_COMPACT,20260912T124653144203Z-786f1e5e,True,15,5819.537628,387.9691752,4.472629299998516
1202,R2_C,20260912T124701379300Z-7447f31d,True,15,5804.561864,386.9707909333334,6.21239919999789
1203,D_COMPACT,20260912T124713773984Z-afdc5e5f,True,15,5992.96694,399.53112933333335,5.200586099992506
1203,R2_C,20260912T124723968816Z-77bdbd0f,True,15,5992.96694,399.53112933333335,6.317957399995066
1204,D_COMPACT,20260912T124736069156Z-e7b0788e,True,15,6478.036045,431.86906966666663,4.0134098999988055
1204,R2_C,20260912T124744318596Z-42190eb2,True,15,6478.036045,431.86906966666663,6.041054400004214
1205,D_COMPACT,20260912T124755966273Z-a4742588,True,15,5724.673759,381.6449172666667,4.256562399998074
1205,R2_C,20260912T124803780833Z-b1cc1fab,True,15,5724.673759,381.6449172666667,5.525608600000851
1206,D_COMPACT,20260912T124814167757Z-7f078654,True,14,5941.357061,424.38264721428567,4.411536699990393
1206,R2_C,20260912T124822157495Z-42d6e1d5,True,14,5941.357061,424.38264721428567,6.052584600009141
1207,D_COMPACT,20260912T124832990905Z-88f818e2,True,16,3802.621525,237.6638453125,4.93025239999406
1207,R2_C,20260912T124841828225Z-c4771f8c,True,16,3802.621525,237.6638453125,5.046548199999961
1208,D_COMPACT,20260912T124851006079Z-9ec22089,True,13,5671.406198,436.2620152307692,5.765341700011049
1208,R2_C,20260912T124900058622Z-4cac5460,True,13,5671.406198,436.2620152307692,6.043791699994472
1209,D_COMPACT,20260912T124910297528Z-64866c81,True,12,5932.096721,494.3413934166667,6.101392500000657
1209,R2_C,20260912T124919412724Z-29c341d6,True,12,5932.096721,494.3413934166667,6.597734900002251
1210,D_COMPACT,20260912T124929814132Z-4d5acdef,True,15,6076.752226,405.1168150666666,6.199472699998296
1210,R2_C,20260912T124940621939Z-8ef0bcab,True,15,6076.752226,405.1168150666666,8.002122499994584
