seed,variant,run_id,all_success,engine_source_count,total_time,mean_time_per_source,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s,journal_bytes
1311,D24,20260912T130629755691Z-f8a0e5fa,True,10,6437.984789,643.7984789,321,4,0,4.682348299989826,421684
1311,D128,20260912T130636439584Z-bea608c1,True,10,6448.853561,644.8853561,323,4,0,5.030554900004063,540493
1311,D64x4,20260912T130643665388Z-1dcf913f,True,10,6438.039296,643.8039296,323,4,0,5.139435499993851,614793
1312,D24,20260912T130651313101Z-3c24ef6a,True,16,5776.249178,361.015573625,179,4,0,4.281147700006841,296325
1312,D128,20260912T130657921636Z-2a7b8693,True,16,5759.575646,359.973477875,179,5,0,4.373064599989448,333014
1312,D64x4,20260912T130704902657Z-c6d26999,True,16,5759.74019,359.983761875,179,4,0,4.645048399994266,376327
1313,D24,20260912T130712420083Z-b6a5d269,True,10,7520.058627,752.0058627000001,426,9,0,5.257292000009329,640598
1313,D128,20260912T130719748208Z-7a6058da,True,10,7419.731443,741.9731443,426,9,0,5.964169000013499,1076469
1313,D64x4,20260912T130728426494Z-61899b6d,True,10,7455.195216,745.5195216,426,10,0,6.513429600003292,1700098
1314,D24,20260912T130738500450Z-4b48955e,True,16,5169.695932,323.10599575,118,5,0,3.7052773000032175,267744
1314,D128,20260912T130744769269Z-2edbee0c,True,16,5162.434373,322.6521483125,118,2,0,4.367818899991107,346820
1314,D64x4,20260912T130752008834Z-956852c9,True,16,5253.05512,328.315945,116,3,0,4.690180499994312,430416
1315,D24,20260912T130759732278Z-0357b243,True,14,6377.805142,455.55751014285715,251,9,0,4.792202900003758,389094
1315,D128,20260912T130806814392Z-2c0e2be9,True,14,6405.091752,457.50655371428576,251,7,0,4.910189400005038,481147
1315,D64x4,20260912T130814335185Z-ef136577,True,14,6308.642979,450.61735564285715,252,7,0,5.457400300001609,637864
1316,D24,20260912T130822802421Z-2b6168ec,True,10,6220.704166,622.0704166,295,1,0,4.505431400000816,355824
1316,D128,20260912T130828695603Z-da49c1aa,True,10,6220.704166,622.0704166,295,1,0,4.644088400003966,365246
1316,D64x4,20260912T130834856154Z-6bb7ca68,True,10,6220.704166,622.0704166,295,1,0,4.560174400001415,376721
1317,D24,20260912T130841022374Z-4b045f6f,True,16,3698.988541,231.1867838125,62,3,0,3.0683625000092434,162457
1317,D128,20260912T130846131786Z-db5c5a87,True,16,3698.988541,231.1867838125,62,3,0,3.066968500002986,162494
1317,D64x4,20260912T130851364865Z-ef141632,True,16,3698.988541,231.1867838125,62,3,0,3.169228700004169,162481
1318,D24,20260912T130857154341Z-f74d9859,True,14,6593.660302,470.97573585714287,241,2,0,5.8475887999957195,363742
1318,D128,20260912T130907134641Z-3d6beb7a,True,14,6607.512891,471.9652065,242,2,0,5.873689199986984,469974
1318,D64x4,20260912T130918646229Z-947d2db9,True,14,6590.955173,470.7825123571429,241,2,0,6.016699200001312,542532
1319,D24,20260912T130930059544Z-bc8be6ce,True,10,6685.251853,668.5251853,329,4,0,7.1235615000041435,435292
1319,D128,20260912T130940923266Z-bbd61351,True,10,6641.997349,664.1997349000001,329,4,0,6.664058100010152,504773
1319,D64x4,20260912T130951967077Z-3a38906b,True,10,6689.127716,668.9127716,329,3,0,7.183516900011455,569464
1320,D24,20260912T131003882383Z-c97f6ff6,True,16,3821.25379,238.828361875,103,8,0,4.511940800002776,304953
1320,D128,20260912T131013569342Z-aa34bafb,True,16,3860.638084,241.28988025,101,10,0,4.857292599990615,542473
1320,D64x4,20260912T131024113284Z-6df2272e,True,16,3826.600611,239.1625381875,101,10,0,5.093516699998872,813797
