seed,variant,run_id,all_success,engine_source_count,total_time,mean_time_per_source,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s,journal_bytes
1321,D24,20260912T132012988947Z-d10f2a27,True,10,6391.730397,639.1730397,292,0,0,4.313573699997505,364045
1321,D3,20260912T132020563460Z-b712af7a,True,10,6391.730397,639.1730397,292,0,0,4.051964600002975,358435
1321,D24D3,20260912T132027916218Z-7e389224,True,10,6391.730397,639.1730397,292,0,0,6.15331709999009,369598
1322,D24,20260912T132037035138Z-8b10a3ae,True,16,6231.327584,389.457974,195,5,0,8.174479099994642,391114
1322,D3,20260912T132050446472Z-20be4940,True,16,6239.326149,389.9578843125,194,4,0,7.263729000012972,343896
1322,D24D3,20260912T132102861544Z-b8009458,True,16,6245.201542,390.325096375,195,5,0,8.85239719999663,402912
1323,D24,20260912T132116753431Z-2309012e,True,10,7132.954971,713.2954971,414,1,0,9.616441300007864,609088
1323,D3,20260912T132130250270Z-4d17d779,True,10,7257.539105,725.7539105,415,5,0,9.237475400004769,521874
1323,D24D3,20260912T132143011579Z-6877527e,True,10,7169.23168,716.923168,414,1,0,10.055241599999135,631505
1324,D24,20260912T132156977423Z-3c88e96f,True,16,4277.700842,267.356302625,198,0,0,7.0913543999922695,323179
1324,D3,20260912T132207795459Z-885d2799,True,16,4278.910794,267.431924625,198,0,0,6.309445599996252,315413
1324,D24D3,20260912T132217690432Z-18e2823b,True,16,4277.348424,267.3342765,198,0,0,6.286557500003255,328101
1325,D24,20260912T132227722343Z-7d03f840,True,14,5309.416327,379.24402335714285,173,3,0,5.030737699999008,262762
1325,D3,20260912T132236787815Z-482c2fc0,True,14,5309.409312,379.2435222857143,173,3,0,4.402816300003906,259081
1325,D24D3,20260912T132244737232Z-fed159b6,True,14,5309.409312,379.2435222857143,173,3,0,6.0415384999942034,265079
1326,D24,20260912T132254404485Z-377054c8,True,10,5887.026955,588.7026955,283,1,0,6.440580199996475,337578
1326,D3,20260912T132303416270Z-dd98bf98,True,10,5887.026955,588.7026955,283,1,0,5.988546099993982,337602
1326,D24D3,20260912T132312382854Z-a81a4932,True,10,5887.026955,588.7026955,283,1,0,5.501465000008466,337669
1327,D24,20260912T132320521996Z-d6723128,True,16,3476.201723,217.2626076875,31,2,0,3.577518999998574,138560
1327,D3,20260912T132327860127Z-9cedb068,True,16,3476.201723,217.2626076875,31,2,0,4.2432864000002155,138610
1327,D24D3,20260912T132335899324Z-8442a12d,True,16,3476.201723,217.2626076875,31,2,0,4.048388399998657,138656
1328,D24,20260912T132343674677Z-c69ca745,True,14,6147.284454,439.0917467142857,213,7,0,6.525499700001092,322918
1328,D3,20260912T132353677936Z-37ec4168,True,14,6190.322088,442.1658634285714,213,8,0,7.066369499996654,311426
1328,D24D3,20260912T132404142570Z-4e526062,True,14,6135.075905,438.21970749999997,213,7,0,6.362718499993207,327642
1329,D24,20260912T132414073869Z-a554c647,True,10,6383.673219,638.3673219,334,1,0,8.13039239999489,407198
1329,D3,20260912T132426084171Z-d038a5ce,True,10,6383.673219,638.3673219,334,1,0,8.135572299986961,405008
1329,D24D3,20260912T132438042747Z-f1735fd8,True,10,6383.673219,638.3673219,334,1,0,7.758604300004663,407290
1330,D24,20260912T132449834382Z-ad2fc4fd,True,16,5429.863578,339.366473625,157,6,0,6.393458599995938,333827
1330,D3,20260912T132500701486Z-67bb8108,True,16,6153.808615,384.6130384375,176,5,0,6.387547599995742,315070
1330,D24D3,20260912T132511350533Z-c5196adc,True,16,6160.829452,385.05184075,176,3,0,6.89344909999636,367208
