seed,variant,all_success,total_time,mean_time_per_source,policy_wall_time_s,optical_failed_count
1331,compact,True,6071.798162,404.78654413333334,3.8322627000015927,7
1331,rollout12,True,6056.162667,403.7441778,11.16939199999615,4
1332,compact,True,6101.912208,435.850872,4.741952199998195,3
1332,rollout12,True,6055.915,432.5653571428571,9.45261579999351,5
1333,compact,True,6801.045445,453.40302966666667,5.2343771000014385,2
1333,rollout12,True,6659.888263,443.99255086666665,15.362626199988881,1
1334,compact,True,5725.992259,408.99944707142856,5.469386500000837,7
1334,rollout12,True,5766.125848,411.866132,8.582995399992797,5
1335,compact,True,6182.167294,562.0152085454546,4.88078150000365,6
1335,rollout12,True,6144.118112,558.556192,8.531836699999985,6
1336,compact,True,6211.594174,477.8149364615384,5.238380399998277,3
1336,rollout12,True,6157.939958,473.68768907692305,7.405803100002231,2
1337,compact,True,5620.19086,374.6793906666666,4.542376299999887,1
1337,rollout12,True,5949.625703,396.6417135333333,9.272552900001756,6
1338,compact,True,6251.654389,480.89649146153846,4.80328809999628,1
1338,rollout12,True,6279.885726,483.06813276923083,11.17028360000404,3
1339,compact,True,5967.681285,542.5164804545454,6.012750599998981,4
1339,rollout12,True,5944.775481,540.4341346363636,7.738320600008592,4
1340,compact,True,5761.140229,384.0760152666666,5.6354289000009885,2
1340,rollout12,True,5812.294503,387.4863002,9.014311699997052,4
