seed,variant,run_id,all_success,clear_count,engine_source_count,total_time,mean_time_per_source,move_time,RF_detection_time,channel_switch_time,optical_time,clear_time,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s,client_error
1371,compact,20260912T134124995004Z-7523c9ba,True,16,16,5671.251778,354.453236125,4276.25177740033,1105,204,54,32,173,2,0,6.57067490000918,
1371,stable,20260912T134134876108Z-851bbaff,True,16,16,5462.106922,341.381682625,4303.106922650984,905,159,63,32,140,5,0,6.048636300009093,
1372,compact,20260912T134144859143Z-1132e683,True,13,13,5827.926791,448.30206084615384,4202.926791326825,1295,238,66,26,229,9,0,5.809335999991163,
1372,stable,20260912T134154040701Z-04fe7884,True,13,13,5804.468267,446.497559,4200.468268163162,1285,236,57,26,227,6,0,5.080483500001719,
1373,compact,20260912T134202624428Z-b9347cdd,True,13,13,5898.40264,453.72328000000005,4144.402639060084,1420,263,45,26,250,2,0,5.682709500004421,
1373,stable,20260912T134211764268Z-ff60dacc,True,13,13,6034.647948,464.2036883076923,4452.647946260283,1275,230,51,26,220,4,0,8.608088499997393,
1374,compact,20260912T134224237677Z-0bea198d,True,13,13,5527.792355,425.2147965384615,4038.7923556428273,1190,216,57,26,204,6,0,7.682625100002042,
1374,stable,20260912T134236721040Z-b32a9b15,True,13,13,5529.789633,425.3684333076923,4034.789632094501,1190,216,63,26,205,8,0,8.242540999999619,
1375,compact,20260912T134249213867Z-27bd091b,True,12,12,6296.082069,524.67350575,4429.082068402729,1505,281,57,24,273,7,0,6.873066599990125,
1375,stable,20260912T134259456579Z-8cdd2db3,True,12,12,6269.198108,522.4331756666667,4397.19810857752,1515,279,54,24,275,6,0,5.2290723999904,
1376,compact,20260912T134308092443Z-cea5b508,True,12,12,5863.280129,488.6066774166666,4209.280126433794,1335,247,48,24,235,4,0,7.940641199995298,
1376,stable,20260912T134320176736Z-3eb5a23c,True,12,12,5810.433659,484.2028049166667,4166.43365892457,1330,245,45,24,234,3,0,7.395155900012469,
1377,compact,20260912T134331332387Z-15445a91,True,16,16,6202.343622,387.646476375,4599.343622583356,1275,236,60,32,213,4,0,6.305940799997188,
1377,stable,20260912T134340740810Z-77fab081,True,16,16,6177.946619,386.1216636875,4561.946620875062,1285,236,63,32,214,5,0,5.814142699993681,
1378,compact,20260912T134349867123Z-f964711f,True,10,10,6033.754528,603.3754528000001,4153.7545282607825,1535,289,36,20,282,2,0,7.048945300004561,
1378,stable,20260912T134359934508Z-2b03b0b5,True,10,10,6026.784899,602.6784899,4138.78489718891,1545,290,33,20,283,1,0,7.511849699993036,
1379,compact,20260912T134410580072Z-dc6912d6,True,16,16,5229.508333,326.8442708125,3950.5083303699816,1005,188,54,32,156,2,0,5.164944100004504,
1379,stable,20260912T134419141263Z-64c2b989,True,16,16,5240.064072,327.5040045,3954.0640715700547,1010,190,54,32,156,2,0,6.552549200001522,
1380,compact,20260912T134428906751Z-21dc3a86,True,10,10,6143.954702,614.3954702,4185.9547026179935,1600,302,36,20,293,2,0,7.479381900004228,
1380,stable,20260912T134440019408Z-385ca1a3,True,10,10,6116.544725,611.6544725,4163.544723977659,1590,304,39,20,292,3,0,8.246982399999979,
