seed,variant,commitment_count,commitment_cleared,extra_RF_count,extra_optical_count,extra_move_time_s,extra_total_time_s,max_extra_RF_count,all_returned_to_global,duplicate_block_count,guard_skip_count,replay_valid,independent_exit_valid,all_success,source_count,total_time,mean_time_per_source
1431,s22ml,0,0,0,0,0,0,0,True,0,0,True,True,True,10,5994.042524,599.4042524
1431,s22ml_md,2,1,1,1,113.42791859173673,123.42791899999997,1,True,0,0,True,True,True,10,5906.563833,590.6563833
1432,s22ml,0,0,0,0,0,0,0,True,0,0,True,True,True,15,5947.298275,396.4865516666667
1432,s22ml_md,5,4,2,5,229.79913831626413,262.7991380000002,1,True,0,0,True,True,True,15,5955.157355,397.01049033333334
1433,s22ml,0,0,0,0,0,0,0,True,0,0,True,True,True,13,5675.52783,436.5790638461539
1433,s22ml_md,2,1,1,2,184.77290326150393,197.7729029999996,1,True,0,0,True,True,True,13,5713.575992,439.50584553846153
1434,s22ml,0,0,0,0,0,0,0,True,0,0,True,True,True,14,6219.548488,444.2534634285715
1434,s22ml_md,6,4,4,7,457.6814072352678,506.6814090000002,1,True,0,0,True,True,True,14,6319.186933,451.3704952142857
1435,s22ml,0,0,0,0,0,0,0,True,0,0,True,True,True,15,5800.252624,386.68350826666665
1435,s22ml_md,5,3,3,4,352.83537247428245,385.8353719999998,1,True,0,0,True,True,True,15,5875.433256,391.6955504
1436,s22ml,0,0,0,0,0,0,0,True,0,0,True,True,True,16,4960.588013,310.0367508125
1436,s22ml_md,3,1,3,1,122.9631358483797,142.96313600000073,1,True,0,0,True,True,True,16,4960.588013,310.0367508125
1437,s22ml,0,0,0,0,0,0,0,True,0,0,True,True,True,14,5966.294661,426.1639043571428
1437,s22ml_md,5,3,3,3,466.7234252460826,496.72342500000025,1,True,0,0,True,True,True,14,5968.409742,426.3149815714286
1438,s22ml,0,0,0,0,0,0,0,True,0,0,True,True,True,12,5957.135342,496.42794516666663
1438,s22ml_md,3,0,3,0,172.17825076301187,187.17825099999985,1,True,0,0,True,True,True,12,6052.326634,504.3605528333333
1439,s22ml,0,0,0,0,0,0,0,True,0,0,True,True,True,12,5781.128714,481.7607261666667
1439,s22ml_md,4,2,3,4,206.98267102960094,237.98266999999993,1,True,0,0,True,True,True,12,5890.791443,490.89928691666665
1440,s22ml,0,0,0,0,0,0,0,True,0,0,True,True,True,12,5625.887076,468.823923
1440,s22ml_md,5,2,4,3,377.8250545677161,410.82505400000014,1,True,0,0,True,True,True,12,5642.890489,470.2408740833334
