seed,variant,total_saved_s,per_source_saved_s
1421,MR,-45.388042999999925,-4.538804300000038
1421,MC,0.0,0.0
1422,MR,-20.940930000000662,-1.3088081250000414
1422,MC,166.65777099999923,10.416110687499952
1423,MR,448.63373500000034,44.86337350000008
1423,MC,316.24558199999956,31.624558200000024
1424,MR,132.1928829999997,8.262055187499982
1424,MC,0.0,0.0
1425,MR,0.0,0.0
1425,MC,0.0,0.0
1426,MR,-14.359494000000268,-1.4359494000000268
1426,MC,0.0,0.0
1427,MR,0.0,0.0
1427,MC,0.0,0.0
1428,MR,-18.885643999999957,-1.3489745714285846
1428,MC,0.0,0.0
1429,MR,182.378283,18.237828300000047
1429,MC,-75.18124399999942,-7.51812439999992
1430,MR,-19.58984700000019,-1.224365437500012
1430,MC,-13.891191000000163,-0.8681994375000102
