seed,variant,run_id,all_success,engine_source_count,total_time,mean_time_per_source,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s,journal_bytes
1421,M,20260912T141818168278Z-0dcc40cf,True,10,6171.317518,617.1317518,279,1,0,13.923003000003519,357825
1421,MR,20260912T141846620710Z-56cbd0a1,True,10,6216.705561,621.6705561,278,1,0,12.332922800007509,343707
1421,MC,20260912T141910104108Z-7d7d3172,True,10,6171.317518,617.1317518,279,1,0,15.023492799999076,357859
1422,M,20260912T141939594897Z-5b82b336,True,16,6114.527125,382.1579453125,160,4,0,20.597581800000626,320910
1422,MR,20260912T142021620423Z-4e878d24,True,16,6135.468055,383.4667534375,161,4,0,23.823710699987714,315868
1422,MC,20260912T142107120477Z-5b6d9fe8,True,16,5947.869354,371.741834625,159,4,0,24.121711500003585,316957
1423,M,20260912T142153329591Z-337fa441,True,10,8029.667888,802.9667888,433,1,0,17.263111199994455,548600
1423,MR,20260912T142224111702Z-4b560c75,True,10,7581.034153,758.1034152999999,425,1,0,13.115241099993,514307
1423,MC,20260912T142249044748Z-33dcd8aa,True,10,7713.422306,771.3422306,436,0,0,15.975808900009724,544618
1424,M,20260912T142317476386Z-843d5912,True,16,4976.734495,311.0459059375,183,5,0,21.994821499989484,317740
1424,MR,20260912T142359114201Z-aa05e5a1,True,16,4844.541612,302.78385075,178,7,0,19.310555299991393,307775
1424,MC,20260912T142436535862Z-04867207,True,16,4976.734495,311.0459059375,183,5,0,22.722722699996666,317751
1425,M,20260912T142519566617Z-337aed05,True,14,5420.19179,387.15655642857143,182,2,0,19.183233100004145,281983
1425,MR,20260912T142555792931Z-5f0eff9e,True,14,5420.19179,387.15655642857143,182,2,0,18.070719099996495,281027
1425,MC,20260912T142630933373Z-ebe2ef3f,True,14,5420.19179,387.15655642857143,182,2,0,18.809785899997223,282023
1426,M,20260912T142707445824Z-a4e1f7ad,True,10,6158.446354,615.8446354,318,2,0,11.63231359999918,385426
1426,MR,20260912T142729724371Z-daf78044,True,10,6172.805848,617.2805848,318,2,0,10.581531199990422,378603
1426,MC,20260912T142749717459Z-4ae732c1,True,10,6158.446354,615.8446354,318,2,0,11.275379600003362,385455
1427,M,20260912T142813397806Z-1bee608a,True,16,4681.632363,292.6020226875,92,4,0,18.258821700001135,197247
1427,MR,20260912T142849170368Z-60970053,True,16,4681.632363,292.6020226875,92,4,0,7.030713800006197,197703
1427,MC,20260912T142908243116Z-d60d46fc,True,16,4681.632363,292.6020226875,92,4,0,7.271108999993885,197262
1428,M,20260912T142922437037Z-8c618385,True,14,6284.087192,448.86337085714285,238,7,0,11.260867399993003,351017
1428,MR,20260912T142946798930Z-087d52e3,True,14,6302.972836,450.21234542857144,238,7,0,11.4769501999981,342198
1428,MC,20260912T143006863996Z-63f5d198,True,14,6284.087192,448.86337085714285,238,7,0,12.179503100007423,351058
1429,M,20260912T143028819302Z-1bad3437,True,10,6549.765349,654.9765349,319,5,0,10.326870999997482,416885
1429,MR,20260912T143045459089Z-b7ecf397,True,10,6367.387066,636.7387066,323,4,0,9.260791399996378,405230
1429,MC,20260912T143101639377Z-114466ff,True,10,6624.946593,662.4946593,321,5,0,13.754618799997843,421112
1430,M,20260912T143126855754Z-a9459cf3,True,16,3607.055235,225.4409521875,79,2,0,14.762384700006805,217971
1430,MR,20260912T143200791524Z-01cca593,True,16,3626.645082,226.665317625,79,2,0,18.768473199990694,209407
1430,MC,20260912T143240381289Z-f3769e6a,True,16,3620.946426,226.309151625,79,1,0,18.099738899996737,209120
