seed,variant,run_id,all_success,engine_source_count,total_time,mean_time_per_source,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s,journal_bytes
1381,compact,20260912T134234621991Z-b887bab4,True,10,6198.199075,619.8199075,292,5,0,6.614785099998699,362760
1381,M,20260912T134244622935Z-09eb5854,True,10,5898.400658,589.8400657999999,280,1,0,12.500745500001358,346157
1382,compact,20260912T134305790722Z-bcb2d874,True,16,5586.348512,349.146782,157,7,0,7.766148100010469,272986
1382,M,20260912T134317977920Z-3b1cda38,True,16,4894.016065,305.8760040625,145,9,0,19.48939539999992,280013
1383,compact,20260912T134354168207Z-15dc21f2,True,10,7944.011793,794.4011793,436,6,0,10.750971299989033,514142
1383,M,20260912T134408398161Z-ab570764,True,10,8002.75036,800.275036,437,4,0,18.218274699989706,538736
1384,compact,20260912T134437073825Z-040f929b,True,16,7016.915912,438.5572445,294,0,0,10.124562099998002,405871
1384,M,20260912T134451257607Z-7c7c260d,True,16,5495.948947,343.4968091875,211,3,0,23.11929930000042,350539
1385,compact,20260912T134539493804Z-9608e921,True,14,5384.131319,384.5808085,168,4,0,7.188525600009598,255529
1385,M,20260912T134550301549Z-9540b0ee,True,14,5200.949618,371.4964012857143,167,3,0,14.869468899996718,267186
1386,compact,20260912T134616539419Z-dbcc798d,True,10,5998.600936,599.8600936,290,0,0,6.937741000001552,346523
1386,M,20260912T134626480353Z-63d44b22,True,10,5915.89104,591.589104,290,1,0,12.331128800011356,356408
1387,compact,20260912T134646405956Z-42b84457,True,16,4375.67885,273.479928125,79,1,0,4.800378699990688,180537
1387,M,20260912T134654890043Z-df21c955,True,16,4235.241597,264.7025998125,79,3,0,17.620562600000994,195908
1388,compact,20260912T134728751296Z-6748f904,True,14,6453.209348,460.9435248571429,216,4,0,5.058564300008584,313249
1388,M,20260912T134737768131Z-37f02dbf,True,14,6309.185682,450.65612014285716,215,7,0,15.038561099994695,335004
1389,compact,20260912T134807542660Z-fe9d81ed,True,10,6824.928105,682.4928105,333,7,0,5.722547899989877,407148
1389,M,20260912T134816819810Z-99eb097e,True,10,6662.858785,666.2858785000001,333,5,0,11.629447200000868,420239
1390,compact,20260912T134838459390Z-23fe791c,True,16,4946.818161,309.1761350625,124,5,0,3.8694556999980705,245211
1390,M,20260912T134846201643Z-b276d0a9,True,16,3727.001698,232.937606125,110,2,0,16.248428000006243,247943
