phase,variant,source_count,n,complete,mean_per_source,mean_total,p95,worst,mean_wall
R2_S22_ML_val100,s22,10,9,9,597.8381698000001,5978.381698,6299.4249118,6357.188461,5.760543211109406
R2_S22_ML_val100,s22,11,13,13,549.2961866503497,6042.258053153846,6555.04364,6602.829074,5.6349515538458945
R2_S22_ML_val100,s22,12,14,14,497.8464239047619,5974.1570868571425,6475.96360415,6582.757583,5.572544542856382
R2_S22_ML_val100,s22,13,17,17,455.94240415384616,5927.251254,6464.2660387999995,6619.490574,5.445401611762731
R2_S22_ML_val100,s22,14,16,16,423.8907186741071,5934.4700614375,6337.3900404999995,6475.358074,5.452332943751571
R2_S22_ML_val100,s22,15,15,15,398.47576888444445,5977.136533266666,6498.5362272,6719.434418,5.48582277999861
R2_S22_ML_val100,s22,16,16,16,329.6143909296875,5273.830254875,6231.447956,6654.950456,5.088734974997351
R2_S22_ML_val100,s22_ml,10,9,9,590.9093018888889,5909.093018888889,6339.2080000000005,6386.499474,11.036935788891343
R2_S22_ML_val100,s22_ml,11,13,13,532.920656951049,5862.127226461538,6170.498587399999,6246.532322,11.057521838459742
R2_S22_ML_val100,s22_ml,12,14,14,485.3784263452381,5824.541116142857,6416.738156949999,6437.998173,11.17615532142788
R2_S22_ML_val100,s22_ml,13,17,17,447.8849988642534,5822.504985235294,6322.660306000001,6352.111974,12.588261958823697
R2_S22_ML_val100,s22_ml,14,16,16,412.2550259910714,5771.570363875,6305.63243925,6376.456545,12.194454637497074
R2_S22_ML_val100,s22_ml,15,15,15,388.14036708888887,5822.105506333333,6293.3454712,6487.784166,12.871393353335831
R2_S22_ML_val100,s22_ml,16,16,16,303.442404796875,4855.07847675,5933.55191925,5991.140127,13.450235656248879
