seed,variant,run_id,all_success,clear_count,engine_source_count,total_time,mean_time_per_source,no_signal_count,optical_failed_count,fallback_count,policy_wall_time_s,client_error
530001,s22,20260912T150600807049Z-0d4ba755,True,16,16,7270.457979,454.4036236875,299,9,0,8.11354280001251,
530001,s22_ml,20260912T150600808574Z-c42f7883,True,16,16,6708.715278,419.294704875,287,8,0,18.5405516000028,
530002,s22,20260912T150634500594Z-ed9627d0,True,10,10,7435.000323,743.5000323,353,7,0,9.13720860000467,
530002,s22_ml,20260912T150600807049Z-868430f6,True,10,10,6974.379605,697.4379605,348,2,0,13.893862099997932,
530003,s22,20260912T150624855774Z-395eed0e,True,16,16,6414.493777,400.9058610625,195,3,0,5.705451499990886,
530003,s22_ml,20260912T150600794295Z-5024539e,True,16,16,6202.637718,387.664857375,193,2,0,13.09153299999889,
530004,s22,20260912T150625109876Z-e2496200,True,10,10,6489.962568,648.9962568,285,3,0,5.8737971000082325,
530004,s22_ml,20260912T150613659307Z-8ebf064d,True,10,10,6355.829369,635.5829369,284,1,0,11.550635400009924,
530005,s22,20260912T150635308534Z-847273d1,True,16,16,5319.774343,332.4858964375,208,4,0,7.4531714000040665,
530005,s22_ml,20260912T150647268574Z-89174c84,True,16,16,6446.40665,402.900415625,230,2,0,12.93514590000268,
530006,s22,20260912T150709730562Z-5f32ff0b,True,10,10,5885.678874,588.5678874,279,4,0,5.437268399997265,
530006,s22_ml,20260912T150634317095Z-9d09fcf4,True,10,10,5817.968456,581.7968456,278,6,0,13.02556559999357,
530007,s22,20260912T150654526296Z-4aa1c32e,True,10,10,6199.565046,619.9565046,275,3,0,5.266745100001572,
530007,s22_ml,20260912T150634634905Z-70743e91,True,10,10,5996.588894,599.6588894,275,2,0,8.93024339999829,
530008,s22,20260912T150648271213Z-400579a3,True,16,16,4674.701237,292.1688273125,159,2,0,5.472699799996917,
530008,s22_ml,20260912T150646206907Z-3cce957f,True,16,16,4507.691711,281.7307319375,159,4,0,14.386994100001175,
530009,s22,20260912T150712545380Z-d718ab22,True,16,16,7651.965557,478.2478473125,337,2,0,7.792936199999531,
530009,s22_ml,20260912T150717707039Z-8efdc72a,True,16,16,7300.934704,456.308419,324,7,0,12.420324799997616,
530010,s22,20260912T150738112751Z-3d043f59,True,10,10,6092.921939,609.2921939,254,4,0,5.9114416999946116,
530010,s22_ml,20260912T150701637150Z-f65c7ae6,True,10,10,5935.22292,593.522292,264,4,0,10.403227299990249,
530011,s22,20260912T150719822489Z-24489ca0,True,16,16,6637.498707,414.8436691875,259,6,0,6.4719558999931905,
530011,s22_ml,20260912T150657118839Z-b50e6d16,True,16,16,6888.397231,430.5248269375,264,5,0,10.682721200006199,
530012,s22,20260912T150714855250Z-ea8b1ffd,True,10,10,6112.855727,611.2855727,252,2,0,5.636234999998123,
530012,s22_ml,20260912T150723392011Z-0d16e4d9,True,10,10,6312.224147,631.2224147,287,3,0,8.806740200001514,
530013,s22,20260912T150737528847Z-343f893d,True,10,10,6524.846703,652.4846703000001,316,3,0,6.512133700001868,
530013,s22_ml,20260912T150746697838Z-aad7d9f6,True,10,10,6219.832437,621.9832437,311,5,0,10.839445300007355,
530014,s22,20260912T150804336514Z-4c9d54fb,True,10,10,6686.51993,668.6519930000001,323,7,0,7.929333299995051,
530014,s22_ml,20260912T150729568516Z-ae8e66b6,True,10,10,6369.862663,636.9862663,310,3,0,10.292554599989671,
530015,s22,20260912T150746924608Z-541d3383,True,16,16,5425.845814,339.115363375,169,12,0,5.7754483000026084,
530015,s22_ml,20260912T150722766866Z-914afc12,True,16,16,5232.919465,327.0574665625,172,10,0,8.791969700003392,
530016,s22,20260912T150737734017Z-e0cd11b6,True,10,10,5800.484562,580.0484561999999,260,2,0,5.653252599993721,
530016,s22_ml,20260912T150746861161Z-bff71e5d,True,10,10,5836.051186,583.6051186,262,4,0,10.730275199995958,
530017,s22,20260912T150804338050Z-6358a888,True,16,16,6604.131589,412.7582243125,194,0,0,6.116652900003828,
530017,s22_ml,20260912T150814972473Z-3e94b5da,True,16,16,6697.170051,418.5731281875,211,3,0,8.82840459998988,
530018,s22,20260912T150830893637Z-b8a21411,True,10,10,6459.289388,645.9289388,247,7,0,3.8360623000044143,
530018,s22_ml,20260912T150755589951Z-d604592a,True,10,10,6053.293941,605.3293941,245,36,1,5.9606735999986995,
530019,s22,20260912T150805514969Z-807deee9,True,16,16,9102.249991,568.8906244375,373,16,0,10.178116399998544,
530019,s22_ml,20260912T150745858336Z-b24eaaeb,True,16,16,8823.928976,551.495561,378,13,1,13.196264699989115,
530020,s22,20260912T150807278966Z-52ae88cd,True,10,10,6934.183462,693.4183462,324,5,0,7.644102799997199,
530020,s22_ml,20260912T150812842239Z-ba5a47e9,True,10,10,6781.630692,678.1630692,324,5,0,11.375149900006363,
530021,s22,20260912T150833349453Z-35c7a4d9,True,16,16,2183.85066,136.49066625,4,1,0,2.3931696000072407,
530021,s22_ml,20260912T150838142497Z-a860ea0b,True,16,16,1826.122085,114.1326303125,4,7,0,25.319508100001258,
530022,s22,20260912T150928272941Z-d05e503c,True,16,16,6472.480986,404.530061625,211,1,0,4.985488999998779,
530022,s22_ml,20260912T150819235598Z-a0be0ec4,True,16,16,6218.025512,388.6265945,206,5,0,11.221348999999464,
