seed,variant,all_success,total_time,mean_time_per_source,policy_wall_time_s,optical_failed_count
1411,S22,True,6053.780907,605.3780907,4.382451099998434,1
1411,scan_commit,True,6025.651225,602.5651224999999,4.289428599993698,1
1412,S22,True,5804.509259,386.96728393333336,4.8704507000074955,3
1412,scan_commit,True,5606.416094,373.76107293333337,4.256626800008235,4
1413,S22,True,5597.230357,373.14869046666666,4.9947725999954855,6
1413,scan_commit,True,5499.18212,366.61214133333334,4.814303099992685,5
1414,S22,True,6519.818886,592.7108078181818,3.845491799991578,1
1414,scan_commit,True,6394.482903,581.3166275454546,5.01826009999786,2
1415,S22,True,5913.619338,422.4013812857143,4.835661200006143,3
1415,scan_commit,True,5541.779766,395.8414118571428,3.017616299999645,8
1416,S22,True,6027.904333,547.991303,3.9245883999974467,2
1416,scan_commit,True,6073.973095,552.1793722727273,4.601438300000154,4
1417,S22,True,6000.645253,461.58809638461537,4.034738300004392,5
1417,scan_commit,True,5808.300746,446.7923650769231,2.894561099994462,5
1418,S22,True,5311.104071,331.9440044375,3.474117199992179,4
1418,scan_commit,True,4878.044254,304.877765875,3.977238399995258,5
1419,S22,True,5755.424827,383.69498846666664,2.6534031000046525,3
1419,scan_commit,True,5781.141022,385.4094014666667,5.134389600003487,3
1420,S22,True,4221.634251,263.8521406875,4.489606000002823,6
1420,scan_commit,True,4438.546089,277.4091305625,4.057523500014213,6
