inner_count,outer_count,inner_radius,outer_radius,complete,visited_cells,reason,wall_s
8,16,800,1840,False,8,uncovered_witness,0.0002913999924203381
8,16,825,1840,False,49,depth,0.0009770000033313408
8,16,850,1840,False,976,uncovered_witness,0.02810239999962505
8,16,875,1840,False,968,uncovered_witness,0.02740300000004936
8,16,900,1840,False,964,uncovered_witness,0.027670399998896755
8,16,925,1840,False,979,depth,0.028419200010830536
8,16,950,1840,True,5909,,0.18702949999715202
8,16,975,1840,True,5701,,0.1722303999995347
8,16,995,1840,True,5701,,0.17313280000234954
8,16,800,1860,False,8,uncovered_witness,0.00025070000265259296
8,16,825,1860,False,49,depth,0.0009181000059470534
8,16,850,1860,False,448,uncovered_witness,0.013632400005008094
8,16,875,1860,False,348,uncovered_witness,0.010557699992205016
8,16,900,1860,False,340,uncovered_witness,0.010340400011045858
8,16,925,1860,False,336,uncovered_witness,0.01017639999918174
8,16,950,1860,True,3893,,0.1563764999882551
8,16,975,1860,True,2501,,0.09116499999072403
8,16,995,1860,True,2437,,0.08507669999380596
7,14,800,1860,False,18,uncovered_witness,0.00040190000436268747
7,14,825,1860,False,18,uncovered_witness,0.0003893999964930117
7,14,850,1860,False,18,uncovered_witness,0.0003865000035148114
7,14,875,1860,False,18,uncovered_witness,0.0004609000025084242
7,14,900,1860,False,97,depth,0.002372899994952604
7,14,925,1860,False,396,uncovered_witness,0.010526099998969585
7,14,950,1860,False,392,uncovered_witness,0.01021799999580253
7,14,975,1860,False,392,uncovered_witness,0.009825800007092766
7,14,995,1860,True,3333,,0.10535180001170374
7,14,800,1880,False,14,uncovered_witness,0.00031970000418368727
7,14,825,1880,False,14,uncovered_witness,0.00031039999157655984
7,14,850,1880,False,14,uncovered_witness,0.00031519999902229756
7,14,875,1880,False,14,uncovered_witness,0.0003063000040128827
7,14,900,1880,False,91,uncovered_witness,0.0018649999983608723
7,14,925,1880,False,247,uncovered_witness,0.006591400000615977
7,14,950,1880,False,227,uncovered_witness,0.006400599988410249
7,14,975,1880,False,231,uncovered_witness,0.006418200006010011
7,14,995,1880,False,250,depth,0.007439599998178892
