variant,seed,scenario,reception,error_mode,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_count,RF_detection_time,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source,variant_hash,scene_hash
defer_clear,12001,uniform,mixed,fixed_hash,20260912T085459035833Z-s12001-G-c255ea6d,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,386b04b1298ce930382bcba119518020ef12a25d97d9c834c2aaf23e8bc632bc,13,13,1.0,3329.450085,2577.4500853380227,12887.250426690114,115,575,109,42,26,1,True,,3.4294310999976005,256.111545,619e95fe4cb1979d722082bea439f149db05516fdcaa36c9ac30e19638a023e5,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
optical80,12001,uniform,mixed,fixed_hash,20260912T085458954849Z-s12001-G-928ea65b,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,46f860bff62566d2434e4546ac541f421ef4e86e3418fcd986db2b131f47c59c,13,13,1.0,2896.242369,2096.24236694687,10481.21183473435,123,615,117,42,26,1,True,,4.153339500000584,222.78787453846155,65e0355b4ecb6da1ba7de312dbf552f68625f82613dd8464d7d4bd370fee7158,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
optical120,12001,uniform,mixed,fixed_hash,20260912T085458961504Z-s12001-G-b4418efb,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,b00cde01e57a36bd297e2fa45e4e98cac574293751b4dd66538f32c6dc4f9b41,13,13,1.0,2903.436353,2100.4363517586826,10502.181758793413,123,615,117,45,26,2,True,,4.171492599998601,223.34125792307694,f2f2382ca67aadbbc2fee50ced23074313f549a0e318fb8cab221fecfe408de2,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
commit400,12001,uniform,mixed,fixed_hash,20260912T085458997869Z-s12001-G-9523139c,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,e4f0b01669f509f4dd0f5d3941b450f90e3689dca809a6d3d8c57266da95442f,13,13,1.0,2876.950204,2101.950203799305,10509.751018996525,119,595,112,42,26,1,True,,4.167939300008584,221.30386184615386,0204f5b869759bb0eccf1e3da3408646b9bcfcdaadae8c8da9faa2838d16a58c,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
share_loose,12001,uniform,mixed,fixed_hash,20260912T085458974810Z-s12001-G-d771e2da,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,666470bd322b3828274c261ba31ee03a054a12e2443788ba31d2f221ba8cd918,13,13,1.0,2924.601429,2099.6014288187716,10498.00714409386,127,635,122,42,26,1,True,,4.257898199997726,224.96934069230767,ce3f502b1d3611333dbda3b5496cdf59c1098043e4dcc9db5cbe45b974657491,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
early_clear,12001,uniform,mixed,fixed_hash,20260912T085459028176Z-s12001-G-9b05c5b1,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,500ba23ecc21810d3ac5f773055242d64c32f5f7a4a0b68a82d17484a530b795,13,13,1.0,2900.307294,2093.307291544149,10466.536457720744,124,620,119,42,26,1,True,,4.259489400006714,223.1005610769231,2e3e1472e3a016bf1eff67b39b9d456e5c26321ec27bae159b9e9994e927ba7a,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
G,12001,uniform,mixed,fixed_hash,20260912T085458931677Z-s12001-G-4fbb9691,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,13,13,1.0,2900.307294,2093.307291544149,10466.536457720744,124,620,119,42,26,1,True,,4.321671300000162,223.1005610769231,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
commit0,12001,uniform,mixed,fixed_hash,20260912T085459014173Z-s12001-G-72e006a6,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,406d2c64289051b3c073155c29c269de2b145c4eba8d1b8206e6fc64617b0fe6,13,13,1.0,2894.353179,2087.353179635092,10436.765898175461,124,620,119,42,26,1,True,,4.397151199998916,222.64255223076924,90ba3e687458c75621d5338ed7ea2f176f792745b98453b1e31eb7e0d05a4092,725b1f0b226e065d75673150561eb091d571b8c10db7cadc4204ba50c470651a
defer_clear,12002,uniform,mixed,fixed_hash,20260912T085503542215Z-s12002-G-9597b650,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,386b04b1298ce930382bcba119518020ef12a25d97d9c834c2aaf23e8bc632bc,16,16,1.0,2729.195702,2092.1957015626363,10460.97850781318,94,470,87,48,32,0,True,,3.0840649000019766,170.574731375,619e95fe4cb1979d722082bea439f149db05516fdcaa36c9ac30e19638a023e5,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
G,12002,uniform,mixed,fixed_hash,20260912T085502590775Z-s12002-G-701d7b4f,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2804.465918,2189.4659177117173,10947.329588558587,90,450,85,48,32,0,True,,4.090780200000154,175.279119875,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
optical120,12002,uniform,mixed,fixed_hash,20260912T085503266858Z-s12002-G-0af5fe03,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,b00cde01e57a36bd297e2fa45e4e98cac574293751b4dd66538f32c6dc4f9b41,16,16,1.0,2826.004496,2215.0044924515178,11075.022462257588,88,440,85,54,32,2,True,,3.777209199994104,176.625281,f2f2382ca67aadbbc2fee50ced23074313f549a0e318fb8cab221fecfe408de2,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
optical80,12002,uniform,mixed,fixed_hash,20260912T085503250439Z-s12002-G-1503af04,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,46f860bff62566d2434e4546ac541f421ef4e86e3418fcd986db2b131f47c59c,16,16,1.0,2806.566315,2193.566313270566,10967.83156635283,89,445,85,51,32,1,True,,3.888998599999468,175.4103946875,65e0355b4ecb6da1ba7de312dbf552f68625f82613dd8464d7d4bd370fee7158,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
commit0,12002,uniform,mixed,fixed_hash,20260912T085503418168Z-s12002-G-fd341bc9,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,406d2c64289051b3c073155c29c269de2b145c4eba8d1b8206e6fc64617b0fe6,16,16,1.0,2719.504962,2104.5049629967325,10522.524814983663,90,450,85,48,32,0,True,,3.907539899999392,169.969060125,90ba3e687458c75621d5338ed7ea2f176f792745b98453b1e31eb7e0d05a4092,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
commit400,12002,uniform,mixed,fixed_hash,20260912T085503365372Z-s12002-G-4862ad24,4ae85ce7bdd7f49d8087a86a419350401a27de7971a5cc4ad0255d4750ca208e,e4f0b01669f509f4dd0f5d3941b450f90e3689dca809a6d3d8c57266da95442f,16,16,1.0,2809.115951,2211.11595121524,11055.5797560762,88,440,78,48,32,0,True,,4.196935100000701,175.5697469375,0204f5b869759bb0eccf1e3da3408646b9bcfcdaadae8c8da9faa2838d16a58c,d2f0467af85ec9881ec1bd6ed68f956aa5938063ff9d0c20d74ec8d8f7fd1831
