variant,seed,scenario,reception,error_mode,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_count,RF_detection_time,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source,variant_hash,scene_hash
G,14003,uniform,minimum,plus_one,20260912T090824402201Z-s14003-G-49c7a656,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,2706.078667,1999.0786696495227,9995.393348247613,110,550,104,33,20,1,True,,3.244139600006747,270.60786670000005,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,4042c3bd4ec7e7d430c70d4ef95b81b810017a29aa48b0a3072dec4abd11eec1
Gplus,14003,uniform,minimum,plus_one,20260912T090824412628Z-s14003-G-91dc497e,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,2696.218505,1998.2185048892777,9991.092524446389,108,540,105,33,20,1,True,,3.4881737000105204,269.6218505,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,4042c3bd4ec7e7d430c70d4ef95b81b810017a29aa48b0a3072dec4abd11eec1
G,14004,uniform,minimum,minus_one,20260912T090824431792Z-s14004-G-2bfb0740,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,3150.800909,2440.800907029637,12204.004535148186,106,530,100,48,32,0,True,,4.157707899998059,196.9250568125,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,12596966f2990821843b7443cd814a43b01f5b48c482a8590f07d2d18aeb80ab
G,14001,uniform,minimum,fixed_hash,20260912T090824357517Z-s14001-G-fcf5e1a7,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,3147.334186,2391.334184175372,11956.670920876859,119,595,111,30,20,0,True,,4.548264299999573,314.7334186,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,c6bce4ad5164582e04dd8c93f11cc26d5e4d48ad75c52956964efc4aaf3898cc
G,14002,uniform,minimum,smooth,20260912T090824385303Z-s14002-G-cb9b23b7,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,3233.168173,2470.1681730745413,12350.840865372706,115,575,108,48,32,0,True,,4.7566844999964815,202.0730108125,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,4c5cbfacbe19bf10f5fc2984e64b54170ad7d3177449b2f3a01c001d92c93abf
Gplus,14001,uniform,minimum,fixed_hash,20260912T090824370427Z-s14001-G-6f18702c,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,3120.995044,2358.9950442159675,11794.975221079838,120,600,112,30,20,0,True,,5.256355300007272,312.0995044,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,c6bce4ad5164582e04dd8c93f11cc26d5e4d48ad75c52956964efc4aaf3898cc
Gplus,14002,uniform,minimum,smooth,20260912T090824392583Z-s14002-G-e8db3fc2,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,3213.931243,2461.9312426512834,12309.656213256418,113,565,107,48,32,0,True,,5.459997700003441,200.8707026875,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,4c5cbfacbe19bf10f5fc2984e64b54170ad7d3177449b2f3a01c001d92c93abf
Gplus,14004,uniform,minimum,minus_one,20260912T090824439534Z-s14004-G-2e0c2a6c,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,3155.277023,2429.2770224547794,12146.385112273898,109,545,101,48,32,0,True,,5.5054870000021765,197.2048139375,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,12596966f2990821843b7443cd814a43b01f5b48c482a8590f07d2d18aeb80ab
G,14005,uniform,maximum,fixed_hash,20260912T090827796896Z-s14005-G-2ac8c281,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,2611.968894,1881.9688949430376,9409.844474715188,114,570,110,30,20,0,True,,4.072574899997562,261.19688940000003,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,e67b83ad48d09569cacef1f54db30d8492ef64d90d1096f71ba906bb4439400d
G,14006,uniform,maximum,smooth,20260912T090828717890Z-s14006-G-648b710d,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,3132.144202,2593.144201474227,12965.721007371136,77,385,74,48,32,0,True,,3.4338289000006625,195.759012625,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,8222a6e2c0dfd1a2eb1ab49e9c6f2b55c7c0090eaf5df1c2d2f10d56444295c4
